BEHD @ YYE. Sim. done on 2023-10-23   21h19
### Sim. w/ κ =    0.100 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    2.44498E+03    3.49332E-04
        0.21610    9.41749E+03    1.34574E-03
        0.32415    2.04654E+04    2.92488E-03
        0.43220    3.50640E+04    5.01201E-03
        0.54024    5.26330E+04    7.52437E-03
        0.64829    7.25535E+04    1.03737E-02
        0.75634    9.41856E+04    1.34686E-02
        0.86439    1.16885E+05    1.67170E-02
        0.97244    1.40020E+05    2.00287E-02
        1.08049    1.62989E+05    2.33174E-02
        1.18854    1.85228E+05    2.65029E-02
        1.29659    2.06231E+05    2.95122E-02
        1.40464    2.25552E+05    3.22817E-02
        1.51269    2.42817E+05    3.47577E-02
        1.62073    2.57729E+05    3.68975E-02
        1.72878    2.70067E+05    3.86694E-02
        1.83683    2.79689E+05    4.00529E-02
        1.94488    2.86532E+05    4.10387E-02
        2.05293    2.90603E+05    4.16278E-02
        2.16098    2.91980E+05    4.18309E-02
        2.26903    2.90799E+05    4.16677E-02
        2.37708    2.87252E+05    4.11654E-02
        2.48513    2.81578E+05    4.03580E-02
        2.59318    2.74049E+05    3.92846E-02
        2.70122    2.64968E+05    3.79883E-02
       43.21959    1.80418E+05    2.73361E-02
       86.43919    1.70268E+05    2.74626E-02
      129.65878    1.59004E+05    2.74145E-02
      172.87838    1.47914E+05    2.73916E-02
      216.09797    1.37139E+05    2.74278E-02
      259.31757    1.26047E+05    2.74016E-02
      302.53716    1.15279E+05    2.74475E-02
      345.75675    1.04892E+05    2.76031E-02
      388.97635    9.41624E+04    2.76948E-02
      432.19594    8.37044E+04    2.79015E-02
      475.41554    7.25038E+04    2.78861E-02
      518.63513    6.15401E+04    2.79728E-02
      561.85473    5.09230E+04    2.82905E-02
