BEHD @ YYE. Sim. done on 2023-10-23   21h19
### Sim. w/ κ =    0.500 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    3.13283E+03    4.47611E-04
        0.21610    1.19238E+04    1.70389E-03
        0.32415    2.56404E+04    3.66448E-03
        0.43220    4.34596E+04    6.21206E-03
        0.54024    6.44997E+04    9.22083E-03
        0.64829    8.78523E+04    1.25611E-02
        0.75634    1.12612E+05    1.61035E-02
        0.86439    1.37902E+05    1.97228E-02
        0.97244    1.62899E+05    2.33013E-02
        1.08049    1.86854E+05    2.67316E-02
        1.18854    2.09106E+05    2.99193E-02
        1.29659    2.29098E+05    3.27845E-02
        1.40464    2.46388E+05    3.52638E-02
        1.51269    2.60649E+05    3.73102E-02
        1.62073    2.71676E+05    3.88942E-02
        1.72878    2.79385E+05    4.00035E-02
        1.83683    2.83802E+05    4.06418E-02
        1.94488    2.85057E+05    4.08274E-02
        2.05293    2.83363E+05    4.05906E-02
        2.16098    2.79003E+05    3.99718E-02
        2.26903    2.72320E+05    3.90199E-02
        2.37708    2.63695E+05    3.77894E-02
        2.48513    2.53542E+05    3.63397E-02
        2.59318    2.42289E+05    3.47318E-02
        2.70122    2.30363E+05    3.30269E-02
       43.21959    1.81940E+05    2.75667E-02
       86.43919    1.71175E+05    2.76088E-02
      129.65878    1.59652E+05    2.75263E-02
      172.87838    1.49032E+05    2.75986E-02
      216.09797    1.38010E+05    2.76019E-02
      259.31757    1.27295E+05    2.76729E-02
      302.53716    1.16142E+05    2.76529E-02
      345.75675    1.05221E+05    2.76896E-02
      388.97635    9.44727E+04    2.77861E-02
      432.19594    8.32639E+04    2.77546E-02
      475.41554    7.24587E+04    2.78687E-02
      518.63513    6.13885E+04    2.79039E-02
      561.85473    5.03751E+04    2.79862E-02
