BEHD @ YYE. Sim. done on 2023-10-23   21h19
### Sim. w/ κ =    0.700 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    3.61736E+03    5.16839E-04
        0.21610    1.35812E+04    1.94073E-03
        0.32415    2.88892E+04    4.12879E-03
        0.43220    4.84636E+04    6.92732E-03
        0.54024    7.11929E+04    1.01777E-02
        0.64829    9.59710E+04    1.37219E-02
        0.75634    1.21733E+05    1.74079E-02
        0.86439    1.47484E+05    2.10933E-02
        0.97244    1.72324E+05    2.46494E-02
        1.08049    1.95466E+05    2.79637E-02
        1.18854    2.16255E+05    3.09422E-02
        1.29659    2.34175E+05    3.35110E-02
        1.40464    2.48854E+05    3.56167E-02
        1.51269    2.60068E+05    3.72270E-02
        1.62073    2.67739E+05    3.83305E-02
        1.72878    2.71927E+05    3.89357E-02
        1.83683    2.72812E+05    3.90680E-02
        1.94488    2.70666E+05    3.87663E-02
        2.05293    2.65840E+05    3.80805E-02
        2.16098    2.58742E+05    3.70690E-02
        2.26903    2.49821E+05    3.57961E-02
        2.37708    2.39550E+05    3.43294E-02
        2.48513    2.28412E+05    3.27379E-02
        2.59318    2.16876E+05    3.10888E-02
        2.70122    2.05383E+05    2.94456E-02
       43.21959    1.78543E+05    2.70519E-02
       86.43919    1.67987E+05    2.70946E-02
      129.65878    1.57419E+05    2.71412E-02
      172.87838    1.45930E+05    2.70241E-02
      216.09797    1.35271E+05    2.70543E-02
      259.31757    1.24648E+05    2.70975E-02
      302.53716    1.13876E+05    2.71134E-02
      345.75675    1.03371E+05    2.72030E-02
      388.97635    9.26073E+04    2.72374E-02
      432.19594    8.18266E+04    2.72755E-02
      475.41554    7.10605E+04    2.73310E-02
      518.63513    6.04547E+04    2.74794E-02
      561.85473    4.94835E+04    2.74909E-02
