BEHD @ YYE. Sim. done on 2023-10-23   21h19
### Sim. w/ κ =    0.600 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    3.37000E+03    4.81497E-04
        0.21610    1.27569E+04    1.82293E-03
        0.32415    2.73079E+04    3.90280E-03
        0.43220    4.60802E+04    6.58665E-03
        0.54024    6.80809E+04    9.73279E-03
        0.64829    9.23031E+04    1.31975E-02
        0.75634    1.17758E+05    1.68394E-02
        0.86439    1.43503E+05    2.05238E-02
        0.97244    1.68667E+05    2.41263E-02
        1.08049    1.92473E+05    2.75354E-02
        1.18854    2.14251E+05    3.06555E-02
        1.29659    2.33454E+05    3.34078E-02
        1.40464    2.49661E+05    3.57323E-02
        1.51269    2.62588E+05    3.75877E-02
        1.62073    2.72083E+05    3.89525E-02
        1.72878    2.78129E+05    3.98237E-02
        1.83683    2.80823E+05    4.02153E-02
        1.94488    2.80367E+05    4.01557E-02
        2.05293    2.77042E+05    3.96852E-02
        2.16098    2.71198E+05    3.88536E-02
        2.26903    2.63231E+05    3.77176E-02
        2.37708    2.53575E+05    3.63392E-02
        2.48513    2.42682E+05    3.47831E-02
        2.59318    2.31010E+05    3.31150E-02
        2.70122    2.19006E+05    3.13987E-02
       43.21959    1.81242E+05    2.74610E-02
       86.43919    1.70218E+05    2.74546E-02
      129.65878    1.59137E+05    2.74374E-02
      172.87838    1.48083E+05    2.74227E-02
      216.09797    1.37540E+05    2.75080E-02
      259.31757    1.26399E+05    2.74781E-02
      302.53716    1.15735E+05    2.75559E-02
      345.75675    1.04743E+05    2.75640E-02
      388.97635    9.41895E+04    2.77028E-02
      432.19594    8.34248E+04    2.78083E-02
      475.41554    7.21627E+04    2.77549E-02
      518.63513    6.15254E+04    2.79661E-02
      561.85473    5.05057E+04    2.80587E-02
