BEHD @ YYE. Sim. done on 2023-10-27   16h41
### Sim. w/ κ =    0.100 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    2.44420E+03    3.49221E-04
        0.21610    9.41460E+03    1.34533E-03
        0.32415    2.04599E+04    2.92410E-03
        0.43220    3.50557E+04    5.01082E-03
        0.54024    5.26216E+04    7.52274E-03
        0.64829    7.25387E+04    1.03716E-02
        0.75634    9.41671E+04    1.34659E-02
        0.86439    1.16863E+05    1.67138E-02
        0.97244    1.39994E+05    2.00248E-02
        1.08049    1.62956E+05    2.33127E-02
        1.18854    1.85188E+05    2.64970E-02
        1.29659    2.06181E+05    2.95050E-02
        1.40464    2.25491E+05    3.22729E-02
        1.51269    2.42741E+05    3.47468E-02
        1.62073    2.57635E+05    3.68840E-02
        1.72878    2.69951E+05    3.86527E-02
        1.83683    2.79548E+05    4.00327E-02
        1.94488    2.86364E+05    4.10147E-02
        2.05293    2.90407E+05    4.15996E-02
        2.16098    2.91755E+05    4.17987E-02
        2.26903    2.90546E+05    4.16315E-02
        2.37708    2.86975E+05    4.11256E-02
        2.48513    2.81278E+05    4.03150E-02
        2.59318    2.73730E+05    3.92388E-02
        2.70122    2.64633E+05    3.79402E-02
       10.80490    1.96055E+05    2.84138E-02
       21.60980    1.85598E+05    2.72938E-02
       32.41470    1.82922E+05    2.73018E-02
       43.21959    1.80827E+05    2.73980E-02
       54.02449    1.77682E+05    2.73358E-02
       64.82939    1.74994E+05    2.73429E-02
       75.63429    1.72731E+05    2.74176E-02
       86.43919    1.69180E+05    2.72872E-02
       97.24409    1.67631E+05    2.74805E-02
      108.04899    1.64512E+05    2.74186E-02
      118.85388    1.61974E+05    2.74531E-02
      129.65878    1.59076E+05    2.74269E-02
      140.46368    1.55836E+05    2.73397E-02
      151.26858    1.53743E+05    2.74541E-02
      162.07348    1.50384E+05    2.73425E-02
      172.87838    1.48165E+05    2.74380E-02
      183.68328    1.45305E+05    2.74161E-02
      194.48817    1.42258E+05    2.73573E-02
      205.29307    1.40587E+05    2.75661E-02
      216.09797    1.37344E+05    2.74689E-02
      226.90287    1.34985E+05    2.75479E-02
      237.70777    1.31758E+05    2.74495E-02
      248.51267    1.28774E+05    2.73988E-02
      259.31757    1.26418E+05    2.74822E-02
      270.12246    1.23809E+05    2.75132E-02
      280.92736    1.20831E+05    2.74615E-02
      291.73226    1.18588E+05    2.75785E-02
      302.53716    1.15518E+05    2.75043E-02
      313.34206    1.13051E+05    2.75735E-02
      324.14696    1.09998E+05    2.74996E-02
      334.95186    1.07715E+05    2.76192E-02
      345.75675    1.04439E+05    2.74840E-02
      356.56165    1.02101E+05    2.75947E-02
      367.36655    9.90687E+04    2.75191E-02
      378.17145    9.64780E+04    2.75651E-02
      388.97635    9.40269E+04    2.76550E-02
      399.78125    9.14660E+04    2.77170E-02
      410.58615    8.81415E+04    2.75442E-02
      421.39104    8.61761E+04    2.77987E-02
      432.19594    8.26834E+04    2.75611E-02
      443.00084    8.05600E+04    2.77793E-02
      453.80574    7.80188E+04    2.78639E-02
      464.61064    7.52712E+04    2.78782E-02
      475.41554    7.21691E+04    2.77574E-02
      486.22044    6.97840E+04    2.79136E-02
      497.02533    6.66325E+04    2.77635E-02
      507.83023    6.40039E+04    2.78278E-02
      518.63513    6.15248E+04    2.79658E-02
      529.44003    5.90878E+04    2.81371E-02
      540.24493    5.61677E+04    2.80839E-02
      551.04983    5.34123E+04    2.81118E-02
      561.85473    5.07645E+04    2.82025E-02
      572.65962    4.80350E+04    2.82559E-02
      583.46452    4.50173E+04    2.81358E-02
      594.26942    4.26688E+04    2.84458E-02
