BEHD @ YYE. Sim. done on 2023-10-27   16h41
### Sim. w/ κ =    0.800 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    3.87880E+03    5.54193E-04
        0.21610    1.44014E+04    2.05793E-03
        0.32415    3.03842E+04    4.34246E-03
        0.43220    5.05962E+04    7.23216E-03
        0.54024    7.38017E+04    1.05506E-02
        0.64829    9.88000E+04    1.41264E-02
        0.75634    1.24462E+05    1.77980E-02
        0.86439    1.49756E+05    2.14181E-02
        0.97244    1.73771E+05    2.48564E-02
        1.08049    1.95735E+05    2.80021E-02
        1.18854    2.15026E+05    3.07663E-02
        1.29659    2.31182E+05    3.30827E-02
        1.40464    2.43900E+05    3.49077E-02
        1.51269    2.53040E+05    3.62210E-02
        1.62073    2.58612E+05    3.70239E-02
        1.72878    2.60768E+05    3.73379E-02
        1.83683    2.59767E+05    3.72000E-02
        1.94488    2.55962E+05    3.66603E-02
        2.05293    2.49767E+05    3.57782E-02
        2.16098    2.41645E+05    3.46197E-02
        2.26903    2.32088E+05    3.32552E-02
        2.37708    2.21596E+05    3.17564E-02
        2.48513    2.10659E+05    3.01934E-02
        2.59318    1.99738E+05    2.86322E-02
        2.70122    1.89251E+05    2.71327E-02
       10.80490    1.80244E+05    2.61223E-02
       21.60980    1.78395E+05    2.62346E-02
       32.41470    1.75152E+05    2.61421E-02
       43.21959    1.72985E+05    2.62099E-02
       54.02449    1.70785E+05    2.62746E-02
       64.82939    1.67694E+05    2.62022E-02
       75.63429    1.65494E+05    2.62688E-02
       86.43919    1.62861E+05    2.62679E-02
       97.24409    1.60407E+05    2.62962E-02
      108.04899    1.57620E+05    2.62700E-02
      118.85388    1.55186E+05    2.63026E-02
      129.65878    1.52494E+05    2.62920E-02
      140.46368    1.49729E+05    2.62683E-02
      151.26858    1.47097E+05    2.62672E-02
      162.07348    1.44375E+05    2.62501E-02
      172.87838    1.42318E+05    2.63551E-02
      183.68328    1.39476E+05    2.63162E-02
      194.48817    1.36555E+05    2.62605E-02
      205.29307    1.33918E+05    2.62585E-02
      216.09797    1.31475E+05    2.62950E-02
      226.90287    1.28855E+05    2.62970E-02
      237.70777    1.26386E+05    2.63304E-02
      248.51267    1.23562E+05    2.62899E-02
      259.31757    1.21325E+05    2.63750E-02
      270.12246    1.18419E+05    2.63154E-02
      280.92736    1.16101E+05    2.63865E-02
      291.73226    1.13221E+05    2.63304E-02
      302.53716    1.10921E+05    2.64098E-02
      313.34206    1.07865E+05    2.63085E-02
      324.14696    1.05721E+05    2.64301E-02
      334.95186    1.02637E+05    2.63173E-02
      345.75675    1.00118E+05    2.63470E-02
      356.56165    9.77509E+04    2.64192E-02
      367.36655    9.51078E+04    2.64188E-02
      378.17145    9.25599E+04    2.64457E-02
      388.97635    9.00997E+04    2.64999E-02
      399.78125    8.73722E+04    2.64764E-02
      410.58615    8.49164E+04    2.65364E-02
      421.39104    8.20055E+04    2.64534E-02
      432.19594    7.94964E+04    2.64988E-02
      443.00084    7.69239E+04    2.65255E-02
      453.80574    7.42605E+04    2.65216E-02
      464.61064    7.17416E+04    2.65709E-02
      475.41554    6.91637E+04    2.66014E-02
      486.22044    6.67700E+04    2.67080E-02
      497.02533    6.38333E+04    2.65972E-02
      507.83023    6.13326E+04    2.66663E-02
      518.63513    5.88308E+04    2.67413E-02
      529.44003    5.62668E+04    2.67937E-02
      540.24493    5.37796E+04    2.68898E-02
      551.04983    5.09258E+04    2.68031E-02
      561.85473    4.80370E+04    2.66872E-02
      572.65962    4.57380E+04    2.69047E-02
      583.46452    4.31505E+04    2.69690E-02
      594.26942    4.05980E+04    2.70653E-02
