BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.600 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
#  Time        Position ∆            Position X            Angle Θ
 
 
#    1
    0.10805,        2.0000E+00,
    0.21610,        1.9838E+00,
    0.32415,        1.9505E+00,
    0.43220,        1.9105E+00,
    0.54024,        1.8648E+00,
    0.64829,        1.8016E+00,
    0.75634,        1.7325E+00,
    0.86439,        1.6684E+00,
    0.97244,        1.6034E+00,
    1.08049,        1.5501E+00,
    1.18854,        1.5063E+00,
    1.29659,        1.4690E+00,
    1.40464,        1.4235E+00,
    1.51269,        1.3868E+00,
    1.62073,        1.3612E+00,
    1.72878,        1.3394E+00,
    1.83683,        1.3253E+00,
    1.94488,        1.3150E+00,
    2.05293,        1.2991E+00,
    2.16098,        1.2797E+00,
    2.26903,        1.2756E+00,
    2.37708,        1.2851E+00,
    2.48513,        1.2767E+00,
    2.59318,        1.2812E+00,
    2.70122,        1.2839E+00,
    2.80927,        1.3048E+00,
    2.91732,        1.3210E+00,
    3.02537,        1.3383E+00,
    3.13342,        1.3536E+00,
    3.24147,        1.3749E+00,
    3.34952,        1.4026E+00,
    3.45757,        1.4138E+00,
    3.56562,        1.4054E+00,
    3.67367,        1.3986E+00,
    3.78171,        1.4078E+00,
    3.88976,        1.4287E+00,
    3.99781,        1.4484E+00,
    4.10586,        1.4775E+00,
    4.21391,        1.4986E+00,
    4.32196,        1.5126E+00,
    4.43001,        1.5171E+00,
    4.53806,        1.5202E+00,
    4.64611,        1.5317E+00,
    4.75416,        1.5416E+00,
    4.86220,        1.5552E+00,
    4.97025,        1.5625E+00,
    5.07830,        1.5578E+00,
    5.18635,        1.5704E+00,
    5.29440,        1.5692E+00,
    5.40245,        1.5797E+00,
    5.51050,        1.6057E+00,
    5.61855,        1.6184E+00,
    5.72660,        1.6309E+00,
    5.83465,        1.6447E+00,
    5.94269,        1.6548E+00,
    6.05074,        1.6629E+00,
    6.15879,        1.6698E+00,
    6.26684,        1.6838E+00,
    6.37489,        1.6812E+00,
