BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.300 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2329-314     1.1213E-01
    0.21610     2.0005E+00     3.5343E-01     4.2393E-03    -1.0009E+00     0.0000E+00     2.2329-314     1.1028E-02
    0.32415     1.9898E+00     3.5626E-01    -9.8184E-02    -9.7970E-01     0.0000E+00     2.2329-314    -1.6554E-02
    0.43220     1.9657E+00     3.6284E-01    -2.2327E-01    -9.3145E-01     0.0000E+00     2.2329-314     9.6525E-03
    0.54024     1.9322E+00     3.7233E-01    -3.1058E-01    -8.6433E-01     0.0000E+00     2.2329-314    -1.3781E-03
    0.64829     1.8891E+00     3.8514E-01    -3.9871E-01    -7.7817E-01     0.0000E+00     2.2329-314    -5.0106E-02
    0.75634     1.8323E+00     4.0319E-01    -5.2563E-01    -6.6459E-01     0.0000E+00     2.2329-314     4.1195E-02
    0.86439     1.7742E+00     4.2314E-01    -5.3729E-01    -5.4848E-01     0.0000E+00     2.2329-314    -4.2983E-03
    0.97244     1.7112E+00     4.4674E-01    -5.8360E-01    -4.2236E-01     0.0000E+00     2.2329-314    -1.2650E-02
    1.08049     1.6439E+00     4.7443E-01    -6.2232E-01    -2.8788E-01     0.0000E+00     2.2329-314    -6.0876E-02
    1.18854     1.5686E+00     5.0900E-01    -6.9694E-01    -1.3727E-01     0.0000E+00     2.2329-314    -9.7376E-03
    1.29659     1.4937E+00     5.4780E-01    -6.9390E-01     1.2675E-02     0.0000E+00     2.2329-314    -6.2918E-02
    1.40464     1.4144E+00     5.9448E-01    -7.3353E-01     1.7119E-01     0.0000E+00     2.2329-314    -7.1822E-02
    1.51269     1.3318E+00     6.5063E-01    -7.6443E-01     3.3638E-01     0.0000E+00     2.2329-314     3.3902E-02
    1.62073     1.2623E+00     7.0510E-01    -6.4322E-01     4.7538E-01     0.0000E+00     2.2329-314    -3.2528E-02
    1.72878     1.1989E+00     7.6173E-01    -5.8646E-01     6.0211E-01     0.0000E+00     2.2329-314     1.5041E-01
    1.83683     1.1721E+00     7.8807E-01    -2.4860E-01     6.5583E-01     0.0000E+00     2.2329-314     1.3497E-01
    1.94488     1.1805E+00     7.7967E-01     7.7730E-02     6.3904E-01     0.0000E+00     2.2329-314    -1.9181E-02
    2.05293     1.1955E+00     7.6502E-01     1.3908E-01     6.0898E-01     0.0000E+00     2.2329-314     1.6385E-02
    2.16098     1.2211E+00     7.4107E-01     2.3707E-01     5.5775E-01     0.0000E+00     2.2329-314    -1.2072E-01
    2.26903     1.2341E+00     7.2937E-01     1.2052E-01     5.3171E-01     0.0000E+00     2.2329-314    -8.5886E-03
    2.37708     1.2528E+00     7.1318E-01     1.7226E-01     4.9448E-01     0.0000E+00     2.2329-314     2.3731E-02
