BEHD @ YYE. Sim. done on 2023-10-23   21h31
### Sim. w/ κ =    0.900 ; and ∆_0 =  2.00; T =    2.98E+03
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
    5.29440     1.4564E+00     5.6898E-01     1.0037E-02     8.7267E-02     0.0000E+00     2.2186-314    -3.6955E-03
    5.40245     1.4585E+00     5.6775E-01     1.9347E-02     8.3087E-02     0.0000E+00     2.2186-314    -1.4499E-03
    5.51050     1.4618E+00     5.6582E-01     3.0800E-02     7.6431E-02     0.0000E+00     2.2186-314     2.9809E-03
    5.61855     1.4669E+00     5.6285E-01     4.7536E-02     6.6158E-02     0.0000E+00     2.2186-314    -4.9775E-03
    5.72660     1.4719E+00     5.6001E-01     4.5859E-02     5.6248E-02     0.0000E+00     2.2186-314     2.9367E-03
    5.83465     1.4780E+00     5.5654E-01     5.6572E-02     4.4023E-02     0.0000E+00     2.2186-314    -6.1375E-03
    5.94269     1.4831E+00     5.5364E-01     4.7671E-02     3.3722E-02     0.0000E+00     2.2186-314    -2.7354E-03
    6.05074     1.4879E+00     5.5099E-01     4.3932E-02     2.4228E-02     0.0000E+00     2.2186-314     6.0976E-03
    6.15879     1.4937E+00     5.4776E-01     5.4148E-02     1.2527E-02     0.0000E+00     2.2186-314     1.6163E-03
    6.26684     1.4995E+00     5.4461E-01     5.3311E-02     1.0062E-03     0.0000E+00     2.2186-314     6.3472E-03
    6.37489     1.5058E+00     5.4118E-01     5.8512E-02    -1.1638E-02     0.0000E+00     2.2186-314     8.5829E-04
    6.48294     1.5114E+00     5.3819E-01     5.1636E-02    -2.2797E-02     0.0000E+00     2.2186-314     5.5491E-03
    6.59099     1.5170E+00     5.3523E-01     5.1407E-02    -3.3906E-02     0.0000E+00     2.2186-314     1.8827E-03
    6.69904     1.5216E+00     5.3277E-01     4.3228E-02    -4.3247E-02     0.0000E+00     2.2186-314     2.0558E-03
    6.80709     1.5254E+00     5.3081E-01     3.4632E-02    -5.0731E-02     0.0000E+00     2.2186-314     1.5912E-03
    6.91514     1.5281E+00     5.2941E-01     2.4915E-02    -5.6115E-02     0.0000E+00     2.2186-314    -8.8975E-04
    7.02318     1.5293E+00     5.2878E-01     1.1255E-02    -5.8547E-02     0.0000E+00     2.2186-314     6.3605E-03
    7.13123     1.5304E+00     5.2820E-01     1.0242E-02    -6.0760E-02     0.0000E+00     2.2186-314     8.2057E-04
    7.23928     1.5304E+00     5.2820E-01    -1.1317E-06    -6.0760E-02     0.0000E+00     2.2186-314     7.6388E-03
    7.34733     1.5306E+00     5.2811E-01     1.7194E-03    -6.1132E-02     0.0000E+00     2.2186-314     5.2865E-03
    7.45538     1.5305E+00     5.2814E-01    -5.8089E-04    -6.1006E-02     0.0000E+00     2.2186-314    -6.7279E-03
    7.56343     1.5281E+00     5.2937E-01    -2.2040E-02    -5.6243E-02     0.0000E+00     2.2186-314     6.5381E-03
    7.67148     1.5260E+00     5.3046E-01    -1.9324E-02    -5.2067E-02     0.0000E+00     2.2186-314     3.2211E-04
    7.77953     1.5232E+00     5.3194E-01    -2.6200E-02    -4.6406E-02     0.0000E+00     2.2186-314    -7.1109E-03
    7.88758     1.5185E+00     5.3442E-01    -4.3620E-02    -3.6979E-02     0.0000E+00     2.2186-314    -5.5598E-03
    7.99562     1.5125E+00     5.3760E-01    -5.5434E-02    -2.5000E-02     0.0000E+00     2.2186-314    -9.2995E-03
    8.10367     1.5049E+00     5.4168E-01    -7.0404E-02    -9.7860E-03     0.0000E+00     2.2186-314     4.7395E-03
    8.21172     1.4986E+00     5.4508E-01    -5.8010E-02     2.7499E-03     0.0000E+00     2.2186-314     6.6035E-03
    8.31977     1.4942E+00     5.4751E-01    -4.1023E-02     1.1615E-02     0.0000E+00     2.2186-314    -7.0881E-03
    8.42782     1.4891E+00     5.5032E-01    -4.7091E-02     2.1791E-02     0.0000E+00     2.2186-314    -2.8038E-03
    8.53587     1.4844E+00     5.5293E-01    -4.3388E-02     3.1167E-02     0.0000E+00     2.2186-314    -5.1839E-03
    8.64392     1.4798E+00     5.5549E-01    -4.2341E-02     4.0317E-02     0.0000E+00     2.2186-314     1.8933E-03
    8.75197     1.4769E+00     5.5715E-01    -2.7264E-02     4.6209E-02     0.0000E+00     2.2186-314     5.0437E-03
    8.86002     1.4762E+00     5.5757E-01    -6.8723E-03     4.7694E-02     0.0000E+00     2.2186-314    -1.7969E-03
    8.96807     1.4761E+00     5.5759E-01    -2.6220E-04     4.7751E-02     0.0000E+00     2.2186-314    -4.3126E-03
    9.07611     1.4763E+00     5.5751E-01     1.2378E-03     4.7483E-02     0.0000E+00     2.2186-314     5.1004E-03
    9.18416     1.4783E+00     5.5635E-01     1.9090E-02     4.3358E-02     0.0000E+00     2.2186-314    -4.8886E-03
    9.29221     1.4801E+00     5.5533E-01     1.6647E-02     3.9760E-02     0.0000E+00     2.2186-314    -8.1824E-03
    9.40026     1.4810E+00     5.5485E-01     8.0499E-03     3.8021E-02     0.0000E+00     2.2186-314     5.6880E-03
    9.50831     1.4836E+00     5.5337E-01     2.4273E-02     3.2775E-02     0.0000E+00     2.2186-314    -6.2498E-03
    9.61636     1.4854E+00     5.5235E-01     1.6942E-02     2.9114E-02     0.0000E+00     2.2186-314    -2.5279E-03
    9.72441     1.4872E+00     5.5138E-01     1.6201E-02     2.5613E-02     0.0000E+00     2.2186-314    -4.7841E-04
    9.83246     1.4892E+00     5.5027E-01     1.8431E-02     2.1630E-02     0.0000E+00     2.2186-314    -6.4070E-03
    9.94051     1.4902E+00     5.4970E-01     9.4775E-03     1.9582E-02     0.0000E+00     2.2186-314     7.8108E-04
   10.04856     1.4917E+00     5.4890E-01     1.3456E-02     1.6674E-02     0.0000E+00     2.2186-314     1.0332E-02
   10.15660     1.4952E+00     5.4695E-01     3.2833E-02     9.5794E-03     0.0000E+00     2.2186-314    -3.4565E-03
   10.26465     1.4979E+00     5.4546E-01     2.5235E-02     4.1262E-03     0.0000E+00     2.2186-314     2.5032E-03
   10.37270     1.5009E+00     5.4383E-01     2.7608E-02    -1.8398E-03     0.0000E+00     2.2186-314     4.8874E-03
   10.48075     1.5044E+00     5.4192E-01     3.2661E-02    -8.8978E-03     0.0000E+00     2.2186-314    -3.7088E-03
   10.58880     1.5068E+00     5.4067E-01     2.1455E-02    -1.3534E-02     0.0000E+00     2.2186-314     4.1918E-03
   10.69685     1.5093E+00     5.3928E-01     2.3846E-02    -1.8687E-02     0.0000E+00     2.2186-314    -1.9515E-03
   10.80490     1.5109E+00     5.3843E-01     1.4829E-02    -2.1892E-02     0.0000E+00     2.2186-314     4.4066E-03
   10.91295     1.5128E+00     5.3746E-01     1.6743E-02    -2.5510E-02     0.0000E+00     2.2186-314    -2.9907E-03
   11.02100     1.5134E+00     5.3714E-01     5.5611E-03    -2.6712E-02     0.0000E+00     2.2186-314     6.8921E-03
   11.12905     1.5146E+00     5.3647E-01     1.1638E-02    -2.9227E-02     0.0000E+00     2.2186-314     1.3946E-03
   11.23709     1.5154E+00     5.3604E-01     7.5792E-03    -3.0864E-02     0.0000E+00     2.2186-314     1.9484E-03
   11.34514     1.5159E+00     5.3578E-01     4.5457E-03    -3.1847E-02     0.0000E+00     2.2186-314     1.0476E-02
   11.45319     1.5176E+00     5.3488E-01     1.5693E-02    -3.5238E-02     0.0000E+00     2.2186-314     5.8388E-03
   11.56124     1.5195E+00     5.3388E-01     1.7497E-02    -3.9019E-02     0.0000E+00     2.2186-314    -1.0946E-02
