BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.200 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
Time         sumz         <∆z^2>
        0.10805    7.91193E-01    1.00151E-03
        0.21610    3.08282E+00    3.95233E-03
        0.32415    6.73700E+00    8.74935E-03
        0.43220    1.15868E+01    1.52458E-02
        0.54024    1.74314E+01    2.32419E-02
        0.64829    2.40321E+01    3.24759E-02
        0.75634    3.11193E+01    4.26292E-02
        0.86439    3.84392E+01    5.33878E-02
        0.97244    4.57229E+01    6.43985E-02
        1.08049    5.26943E+01    7.52775E-02
        1.18854    5.91052E+01    8.56598E-02
        1.29659    6.47510E+01    9.52221E-02
        1.40464    6.94517E+01    1.03659E-01
        1.51269    7.30965E+01    1.10752E-01
        1.62073    7.56018E+01    1.16310E-01
        1.72878    7.69740E+01    1.20272E-01
        1.83683    7.71789E+01    1.22506E-01
        1.94488    7.63135E+01    1.23086E-01
        2.05293    7.44352E+01    1.22025E-01
        2.16098    7.16407E+01    1.19401E-01
        2.26903    6.80939E+01    1.15413E-01
        2.37708    6.40657E+01    1.10458E-01
        2.48513    5.97331E+01    1.04795E-01
        2.59318    5.53279E+01    9.87998E-02
        2.70122    5.10382E+01    9.27967E-02
        2.80927    4.70185E+01    8.70713E-02
        2.91732    4.33521E+01    8.17965E-02
        3.02537    4.00693E+01    7.70563E-02
        3.13342    3.71878E+01    7.29172E-02
        3.24147    3.47401E+01    6.94802E-02
        3.34952    3.27290E+01    6.67938E-02
        3.45757    3.11141E+01    6.48211E-02
        3.56562    2.98547E+01    6.35206E-02
        3.67367    2.89313E+01    6.28942E-02
        3.78171    2.82998E+01    6.28885E-02
        3.88976    2.78752E+01    6.33527E-02
        3.99781    2.75926E+01    6.41687E-02
        4.10586    2.74004E+01    6.52390E-02
        4.21391    2.72681E+01    6.65076E-02
        4.32196    2.71795E+01    6.79488E-02
        4.43001    2.71424E+01    6.95958E-02
        4.53806    2.71381E+01    7.14161E-02
        4.64611    2.71276E+01    7.33178E-02
        4.75416    2.71568E+01    7.54355E-02
        4.86220    2.72133E+01    7.77523E-02
        4.97025    2.72867E+01    8.02551E-02
        5.07830    2.73790E+01    8.29667E-02
        5.18635    2.74909E+01    8.59091E-02
        5.29440    2.76111E+01    8.90679E-02
        5.40245    2.77141E+01    9.23803E-02
        5.51050    2.77549E+01    9.57067E-02
        5.61855    2.76777E+01    9.88490E-02
        5.72660    2.74853E+01    1.01797E-01
        5.83465    2.71735E+01    1.04514E-01
        5.94269    2.67163E+01    1.06865E-01
        6.05074    2.60677E+01    1.08615E-01
        6.15879    2.52409E+01    1.09743E-01
        6.26684    2.43227E+01    1.10558E-01
        6.37489    2.34059E+01    1.11457E-01
        6.48294    2.25353E+01    1.12677E-01
