BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.800 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
#  Time        Position ∆            Position X            Angle Θ
 
 
#    1
    0.10805,        2.0000E+00,
    0.21610,        1.9907E+00,
    0.32415,        1.9715E+00,
    0.43220,        1.9438E+00,
    0.54024,        1.9053E+00,
    0.64829,        1.8622E+00,
    0.75634,        1.8082E+00,
    0.86439,        1.7510E+00,
    0.97244,        1.6838E+00,
    1.08049,        1.6220E+00,
    1.18854,        1.5624E+00,
    1.29659,        1.5107E+00,
    1.40464,        1.4624E+00,
    1.51269,        1.4128E+00,
    1.62073,        1.3662E+00,
    1.72878,        1.3325E+00,
    1.83683,        1.3329E+00,
    1.94488,        1.3459E+00,
    2.05293,        1.3619E+00,
    2.16098,        1.3560E+00,
    2.26903,        1.3391E+00,
    2.37708,        1.3312E+00,
    2.48513,        1.3174E+00,
    2.59318,        1.3325E+00,
    2.70122,        1.3474E+00,
    2.80927,        1.3758E+00,
    2.91732,        1.4186E+00,
    3.02537,        1.4564E+00,
    3.13342,        1.5092E+00,
    3.24147,        1.5500E+00,
    3.34952,        1.5670E+00,
    3.45757,        1.5615E+00,
    3.56562,        1.5603E+00,
    3.67367,        1.5513E+00,
    3.78171,        1.5385E+00,
    3.88976,        1.5407E+00,
    3.99781,        1.5422E+00,
    4.10586,        1.5498E+00,
    4.21391,        1.5751E+00,
    4.32196,        1.5747E+00,
    4.43001,        1.5699E+00,
    4.53806,        1.5486E+00,
    4.64611,        1.5309E+00,
    4.75416,        1.5150E+00,
    4.86220,        1.4939E+00,
    4.97025,        1.4665E+00,
    5.07830,        1.4313E+00,
    5.18635,        1.3877E+00,
    5.29440,        1.3470E+00,
    5.40245,        1.3439E+00,
    5.51050,        1.3505E+00,
    5.61855,        1.3775E+00,
    5.72660,        1.4067E+00,
    5.83465,        1.4611E+00,
    5.94269,        1.5155E+00,
    6.05074,        1.5573E+00,
    6.15879,        1.6081E+00,
    6.26684,        1.6417E+00,
    6.37489,        1.6636E+00,
    6.48294,        1.6733E+00,
    6.59099,        1.6812E+00,
    6.69904,        1.6935E+00,
    6.80709,        1.6956E+00,
    6.91514,        1.6843E+00,
    7.02318,        1.6563E+00,
    7.13123,        1.6228E+00,
    7.23928,        1.5854E+00,
    7.34733,        1.5576E+00,
    7.45538,        1.5319E+00,
    7.56343,        1.4964E+00,
    7.67148,        1.4577E+00,
    7.77953,        1.4156E+00,
    7.88758,        1.3645E+00,
    7.99562,        1.3419E+00,
    8.10367,        1.3225E+00,
    8.21172,        1.3117E+00,
    8.31977,        1.3219E+00,
    8.42782,        1.3272E+00,
    8.53587,        1.3056E+00,
 
 
#    2
    0.10805,        2.0000E+00,
    0.21610,        1.9934E+00,
    0.32415,        1.9744E+00,
    0.43220,        1.9368E+00,
    0.54024,        1.8852E+00,
    0.64829,        1.8175E+00,
    0.75634,        1.7431E+00,
    0.86439,        1.6630E+00,
    0.97244,        1.5840E+00,
    1.08049,        1.4885E+00,
    1.18854,        1.3980E+00,
    1.29659,        1.3079E+00,
    1.40464,        1.2395E+00,
    1.51269,        1.2189E+00,
    1.62073,        1.2197E+00,
    1.72878,        1.2517E+00,
    1.83683,        1.2796E+00,
    1.94488,        1.2575E+00,
    2.05293,        1.2376E+00,
    2.16098,        1.2416E+00,
    2.26903,        1.2911E+00,
    2.37708,        1.3205E+00,
    2.48513,        1.3122E+00,
    2.59318,        1.3220E+00,
    2.70122,        1.3358E+00,
    2.80927,        1.3365E+00,
    2.91732,        1.3435E+00,
    3.02537,        1.3597E+00,
    3.13342,        1.3983E+00,
    3.24147,        1.4440E+00,
    3.34952,        1.4741E+00,
    3.45757,        1.4995E+00,
    3.56562,        1.5475E+00,
    3.67367,        1.5895E+00,
    3.78171,        1.6251E+00,
    3.88976,        1.6482E+00,
    3.99781,        1.6611E+00,
    4.10586,        1.6764E+00,
    4.21391,        1.6852E+00,
    4.32196,        1.6888E+00,
    4.43001,        1.6804E+00,
    4.53806,        1.6650E+00,
    4.64611,        1.6488E+00,
    4.75416,        1.6227E+00,
    4.86220,        1.5720E+00,
    4.97025,        1.5203E+00,
    5.07830,        1.4912E+00,
    5.18635,        1.4599E+00,
    5.29440,        1.4396E+00,
    5.40245,        1.4218E+00,
    5.51050,        1.3920E+00,
    5.61855,        1.3744E+00,
    5.72660,        1.3638E+00,
    5.83465,        1.3615E+00,
    5.94269,        1.3579E+00,
    6.05074,        1.3541E+00,
    6.15879,        1.3520E+00,
    6.26684,        1.3436E+00,
    6.37489,        1.3446E+00,
    6.48294,        1.3300E+00,
    6.59099,        1.3207E+00,
    6.69904,        1.3399E+00,
    6.80709,        1.3821E+00,
    6.91514,        1.4044E+00,
    7.02318,        1.4295E+00,
    7.13123,        1.4354E+00,
    7.23928,        1.4608E+00,
    7.34733,        1.4626E+00,
    7.45538,        1.4883E+00,
    7.56343,        1.5127E+00,
    7.67148,        1.5400E+00,
    7.77953,        1.5523E+00,
    7.88758,        1.5510E+00,
    7.99562,        1.5334E+00,
    8.10367,        1.4967E+00,
    8.21172,        1.4688E+00,
    8.31977,        1.4483E+00,
    8.42782,        1.4506E+00,
    8.53587,        1.4441E+00,
 
 
#    3
    0.10805,        2.0000E+00,
    0.21610,        1.9870E+00,
    0.32415,        1.9591E+00,
    0.43220,        1.9156E+00,
    0.54024,        1.8634E+00,
    0.64829,        1.7990E+00,
    0.75634,        1.7274E+00,
    0.86439,        1.6324E+00,
    0.97244,        1.5251E+00,
    1.08049,        1.4129E+00,
    1.18854,        1.2980E+00,
 
 
#    3
    0.10805,        2.0000E+00,
    0.21610,        1.9882E+00,
    0.32415,        1.9606E+00,
    0.43220,        1.9227E+00,
    0.54024,        1.8779E+00,
    0.64829,        1.8189E+00,
    0.75634,        1.7489E+00,
    0.86439,        1.6782E+00,
    0.97244,        1.6006E+00,
    1.08049,        1.5169E+00,
    1.18854,        1.4334E+00,
    1.29659,        1.3517E+00,
    1.40464,        1.2715E+00,
    1.51269,        1.2044E+00,
    1.62073,        1.2014E+00,
    1.72878,        1.2692E+00,
    1.83683,        1.3347E+00,
    1.94488,        1.3603E+00,
    2.05293,        1.3764E+00,
    2.16098,        1.4046E+00,
