BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.500 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
#  Time        Position ∆            Position X            Angle Θ
 
 
#    1
    0.10805,        2.0000E+00,
    0.21610,        1.9831E+00,
    0.32415,        1.9541E+00,
    0.43220,        1.9128E+00,
    0.54024,        1.8607E+00,
    0.64829,        1.8021E+00,
    0.75634,        1.7337E+00,
    0.86439,        1.6599E+00,
    0.97244,        1.5784E+00,
    1.08049,        1.5075E+00,
    1.18854,        1.4401E+00,
    1.29659,        1.3667E+00,
    1.40464,        1.3039E+00,
    1.51269,        1.2420E+00,
    1.62073,        1.1851E+00,
    1.72878,        1.1423E+00,
    1.83683,        1.1128E+00,
    1.94488,        1.1570E+00,
    2.05293,        1.2031E+00,
    2.16098,        1.2427E+00,
    2.26903,        1.2979E+00,
    2.37708,        1.3627E+00,
    2.48513,        1.4095E+00,
    2.59318,        1.4439E+00,
    2.70122,        1.4740E+00,
    2.80927,        1.5039E+00,
    2.91732,        1.5390E+00,
    3.02537,        1.5711E+00,
    3.13342,        1.5996E+00,
    3.24147,        1.6207E+00,
    3.34952,        1.6275E+00,
    3.45757,        1.6293E+00,
    3.56562,        1.6344E+00,
    3.67367,        1.6332E+00,
    3.78171,        1.6283E+00,
    3.88976,        1.6227E+00,
    3.99781,        1.6231E+00,
    4.10586,        1.6090E+00,
    4.21391,        1.5919E+00,
    4.32196,        1.5703E+00,
    4.43001,        1.5436E+00,
    4.53806,        1.5195E+00,
    4.64611,        1.4926E+00,
    4.75416,        1.4717E+00,
    4.86220,        1.4527E+00,
    4.97025,        1.4345E+00,
    5.07830,        1.4079E+00,
    5.18635,        1.3848E+00,
    5.29440,        1.3693E+00,
    5.40245,        1.3664E+00,
    5.51050,        1.3659E+00,
    5.61855,        1.3547E+00,
    5.72660,        1.3411E+00,
    5.83465,        1.3438E+00,
    5.94269,        1.3618E+00,
    6.05074,        1.3945E+00,
    6.15879,        1.4458E+00,
    6.26684,        1.4928E+00,
    6.37489,        1.5478E+00,
    6.48294,        1.5832E+00,
    6.59099,        1.6138E+00,
    6.69904,        1.6490E+00,
    6.80709,        1.6654E+00,
    6.91514,        1.6676E+00,
    7.02318,        1.6663E+00,
    7.13123,        1.6648E+00,
    7.23928,        1.6623E+00,
    7.34733,        1.6556E+00,
    7.45538,        1.6320E+00,
    7.56343,        1.6060E+00,
    7.67148,        1.5742E+00,
    7.77953,        1.5333E+00,
    7.88758,        1.4923E+00,
    7.99562,        1.4404E+00,
    8.10367,        1.3932E+00,
    8.21172,        1.3412E+00,
    8.31977,        1.2783E+00,
    8.42782,        1.2209E+00,
    8.53587,        1.1864E+00,
 
 
#    2
    0.10805,        2.0000E+00,
    0.21610,        1.9837E+00,
    0.32415,        1.9527E+00,
    0.43220,        1.9145E+00,
    0.54024,        1.8581E+00,
    0.64829,        1.7915E+00,
    0.75634,        1.7240E+00,
    0.86439,        1.6516E+00,
    0.97244,        1.5816E+00,
    1.08049,        1.5085E+00,
    1.18854,        1.4415E+00,
    1.29659,        1.3845E+00,
    1.40464,        1.3459E+00,
    1.51269,        1.3075E+00,
    1.62073,        1.2818E+00,
    1.72878,        1.2788E+00,
    1.83683,        1.2791E+00,
    1.94488,        1.2973E+00,
    2.05293,        1.3210E+00,
    2.16098,        1.3520E+00,
    2.26903,        1.3967E+00,
    2.37708,        1.4334E+00,
    2.48513,        1.4498E+00,
    2.59318,        1.4798E+00,
    2.70122,        1.5169E+00,
    2.80927,        1.5504E+00,
    2.91732,        1.5793E+00,
    3.02537,        1.6012E+00,
    3.13342,        1.6182E+00,
    3.24147,        1.6212E+00,
    3.34952,        1.6286E+00,
    3.45757,        1.6301E+00,
    3.56562,        1.6420E+00,
    3.67367,        1.6417E+00,
    3.78171,        1.6309E+00,
    3.88976,        1.6271E+00,
    3.99781,        1.6164E+00,
    4.10586,        1.6156E+00,
    4.21391,        1.6221E+00,
    4.32196,        1.6345E+00,
    4.43001,        1.6424E+00,
    4.53806,        1.6458E+00,
    4.64611,        1.6459E+00,
    4.75416,        1.6462E+00,
    4.86220,        1.6392E+00,
    4.97025,        1.6277E+00,
    5.07830,        1.6188E+00,
    5.18635,        1.6011E+00,
    5.29440,        1.5806E+00,
    5.40245,        1.5659E+00,
    5.51050,        1.5390E+00,
    5.61855,        1.5056E+00,
    5.72660,        1.4664E+00,
    5.83465,        1.4366E+00,
    5.94269,        1.4140E+00,
    6.05074,        1.3865E+00,
    6.15879,        1.3613E+00,
    6.26684,        1.3379E+00,
    6.37489,        1.3053E+00,
    6.48294,        1.2810E+00,
    6.59099,        1.2502E+00,
    6.69904,        1.2192E+00,
    6.80709,        1.2044E+00,
    6.91514,        1.2162E+00,
    7.02318,        1.2504E+00,
    7.13123,        1.2926E+00,
    7.23928,        1.3310E+00,
    7.34733,        1.3453E+00,
    7.45538,        1.3587E+00,
    7.56343,        1.3740E+00,
    7.67148,        1.4091E+00,
    7.77953,        1.4517E+00,
    7.88758,        1.4761E+00,
    7.99562,        1.4914E+00,
    8.10367,        1.5169E+00,
    8.21172,        1.5381E+00,
    8.31977,        1.5557E+00,
    8.42782,        1.5708E+00,
    8.53587,        1.5926E+00,
 
 
#    3
    0.10805,        2.0000E+00,
    0.21610,        1.9878E+00,
    0.32415,        1.9574E+00,
    0.43220,        1.9135E+00,
    0.54024,        1.8535E+00,
    0.64829,        1.7822E+00,
    0.75634,        1.7049E+00,
    0.86439,        1.6237E+00,
    0.97244,        1.5374E+00,
    1.08049,        1.4481E+00,
    1.18854,        1.3566E+00,
    1.29659,        1.2662E+00,
    1.40464,        1.1996E+00,
    1.51269,        1.1490E+00,
    1.62073,        1.1098E+00,
    1.72878,        1.0975E+00,
    1.83683,        1.1218E+00,
    1.94488,        1.1361E+00,
    2.05293,        1.1534E+00,
    2.16098,        1.1939E+00,
    2.26903,        1.2278E+00,
    2.37708,        1.2716E+00,
    2.48513,        1.3326E+00,
    2.59318,        1.3904E+00,
    2.70122,        1.4404E+00,
    2.80927,        1.4945E+00,
    2.91732,        1.5523E+00,
    3.02537,        1.5936E+00,
    3.13342,        1.6348E+00,
    3.24147,        1.6670E+00,
    3.34952,        1.7038E+00,
    3.45757,        1.7281E+00,
    3.56562,        1.7441E+00,
    3.67367,        1.7634E+00,
