BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.800 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2329-314     3.3371E-02
    0.21610     1.9907E+00     3.5604E-01    -8.6271E-02    -9.8136E-01     0.0000E+00     2.2329-314     2.3818E-02
    0.32415     1.9715E+00     3.6126E-01    -1.7782E-01    -9.4293E-01     0.0000E+00     2.2329-314     2.8302E-02
    0.43220     1.9438E+00     3.6900E-01    -2.5623E-01    -8.8756E-01     0.0000E+00     2.2329-314     2.1708E-03
    0.54024     1.9053E+00     3.8023E-01    -3.5604E-01    -8.1062E-01     0.0000E+00     2.2329-314     3.9838E-02
    0.64829     1.8622E+00     3.9353E-01    -3.9932E-01    -7.2433E-01     0.0000E+00     2.2329-314    -1.7135E-02
    0.75634     1.8082E+00     4.1127E-01    -4.9941E-01    -6.1641E-01     0.0000E+00     2.2329-314     2.8320E-02
    0.86439     1.7510E+00     4.3158E-01    -5.2927E-01    -5.0203E-01     0.0000E+00     2.2329-314    -3.2801E-02
    0.97244     1.6838E+00     4.5766E-01    -6.2167E-01    -3.6769E-01     0.0000E+00     2.2329-314     6.3250E-02
    1.08049     1.6220E+00     4.8411E-01    -5.7276E-01    -2.4392E-01     0.0000E+00     2.2329-314     2.9565E-02
    1.18854     1.5624E+00     5.1203E-01    -5.5093E-01    -1.2486E-01     0.0000E+00     2.2329-314     5.1744E-02
    1.29659     1.5107E+00     5.3854E-01    -4.7849E-01    -2.1461E-02     0.0000E+00     2.2329-314     1.1449E-02
    1.40464     1.4624E+00     5.6547E-01    -4.4752E-01     7.5246E-02     0.0000E+00     2.2329-314    -2.5098E-02
    1.51269     1.4128E+00     5.9551E-01    -4.5906E-01     1.7445E-01     0.0000E+00     2.2329-314    -1.1313E-02
    1.62073     1.3662E+00     6.2619E-01    -4.3061E-01     2.6750E-01     0.0000E+00     2.2329-314     2.2867E-02
    1.72878     1.3325E+00     6.5013E-01    -3.1236E-01     3.3500E-01     0.0000E+00     2.2329-314     9.8454E-02
    1.83683     1.3329E+00     6.4982E-01     3.9407E-03     3.3415E-01     0.0000E+00     2.2329-314     1.8352E-02
    1.94488     1.3459E+00     6.4046E-01     1.1989E-01     3.0824E-01     0.0000E+00     2.2329-314    -8.3461E-03
    2.05293     1.3619E+00     6.2920E-01     1.4811E-01     2.7624E-01     0.0000E+00     2.2329-314    -1.1533E-01
    2.16098     1.3560E+00     6.3332E-01    -5.4631E-02     2.8804E-01     0.0000E+00     2.2329-314    -8.1928E-02
    2.26903     1.3391E+00     6.4531E-01    -1.5602E-01     3.2176E-01     0.0000E+00     2.2329-314    -2.8818E-03
    2.37708     1.3312E+00     6.5109E-01    -7.3393E-02     3.3762E-01     0.0000E+00     2.2329-314    -6.3339E-02
