BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.100 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
#  Time        Position ∆            Position X            Angle Θ
 
 
#    1
    0.10805,        2.0000E+00,
    0.21610,        1.9803E+00,
    0.32415,        1.9543E+00,
    0.43220,        1.9185E+00,
    0.54024,        1.8791E+00,
    0.64829,        1.8270E+00,
    0.75634,        1.7724E+00,
    0.86439,        1.7189E+00,
    0.97244,        1.6623E+00,
    1.08049,        1.6034E+00,
    1.18854,        1.5582E+00,
    1.29659,        1.5132E+00,
    1.40464,        1.4727E+00,
    1.51269,        1.4266E+00,
    1.62073,        1.3863E+00,
    1.72878,        1.3568E+00,
    1.83683,        1.3324E+00,
    1.94488,        1.3121E+00,
    2.05293,        1.2950E+00,
    2.16098,        1.2854E+00,
    2.26903,        1.2793E+00,
    2.37708,        1.2736E+00,
    2.48513,        1.2693E+00,
    2.59318,        1.2668E+00,
    2.70122,        1.2781E+00,
    2.80927,        1.2863E+00,
    2.91732,        1.3024E+00,
    3.02537,        1.3186E+00,
    3.13342,        1.3331E+00,
    3.24147,        1.3481E+00,
    3.34952,        1.3770E+00,
    3.45757,        1.4061E+00,
    3.56562,        1.4390E+00,
    3.67367,        1.4743E+00,
    3.78171,        1.4905E+00,
    3.88976,        1.5071E+00,
    3.99781,        1.5274E+00,
    4.10586,        1.5444E+00,
    4.21391,        1.5624E+00,
    4.32196,        1.5815E+00,
    4.43001,        1.5967E+00,
    4.53806,        1.6066E+00,
    4.64611,        1.6103E+00,
    4.75416,        1.6295E+00,
    4.86220,        1.6355E+00,
    4.97025,        1.6389E+00,
    5.07830,        1.6345E+00,
    5.18635,        1.6209E+00,
    5.29440,        1.6058E+00,
    5.40245,        1.5851E+00,
    5.51050,        1.5551E+00,
    5.61855,        1.5258E+00,
    5.72660,        1.5100E+00,
    5.83465,        1.4952E+00,
    5.94269,        1.4822E+00,
    6.05074,        1.4734E+00,
    6.15879,        1.4552E+00,
    6.26684,        1.4408E+00,
    6.37489,        1.4239E+00,
    6.48294,        1.4036E+00,
    6.59099,        1.3987E+00,
    6.69904,        1.3974E+00,
    6.80709,        1.3962E+00,
    6.91514,        1.3971E+00,
    7.02318,        1.4039E+00,
    7.13123,        1.4123E+00,
    7.23928,        1.4233E+00,
    7.34733,        1.4431E+00,
    7.45538,        1.4657E+00,
    7.56343,        1.4973E+00,
    7.67148,        1.5288E+00,
    7.77953,        1.5646E+00,
    7.88758,        1.5953E+00,
    7.99562,        1.6103E+00,
    8.10367,        1.6276E+00,
    8.21172,        1.6461E+00,
    8.31977,        1.6506E+00,
    8.42782,        1.6485E+00,
    8.53587,        1.6452E+00,
 
 
#    2
    0.10805,        2.0000E+00,
    0.21610,        1.9966E+00,
    0.32415,        1.9757E+00,
    0.43220,        1.9418E+00,
    0.54024,        1.9048E+00,
    0.64829,        1.8617E+00,
    0.75634,        1.8066E+00,
    0.86439,        1.7325E+00,
    0.97244,        1.6676E+00,
    1.08049,        1.6020E+00,
    1.18854,        1.5377E+00,
    1.29659,        1.4732E+00,
    1.40464,        1.4093E+00,
    1.51269,        1.3429E+00,
    1.62073,        1.2870E+00,
    1.72878,        1.2346E+00,
    1.83683,        1.1871E+00,
    1.94488,        1.1450E+00,
    2.05293,        1.1116E+00,
    2.16098,        1.0991E+00,
    2.26903,        1.1012E+00,
    2.37708,        1.1046E+00,
    2.48513,        1.1214E+00,
    2.59318,        1.1594E+00,
    2.70122,        1.1951E+00,
    2.80927,        1.2438E+00,
    2.91732,        1.2881E+00,
    3.02537,        1.3403E+00,
    3.13342,        1.3902E+00,
    3.24147,        1.4398E+00,
    3.34952,        1.4800E+00,
    3.45757,        1.5119E+00,
    3.56562,        1.5406E+00,
    3.67367,        1.5703E+00,
    3.78171,        1.6042E+00,
