BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.500 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2329-314    -3.5148E-02
    0.21610     1.9831E+00     3.5808E-01    -1.5623E-01    -9.6624E-01     0.0000E+00     2.2329-314    -3.7536E-03
    0.32415     1.9541E+00     3.6608E-01    -2.6833E-01    -9.0825E-01     0.0000E+00     2.2329-314    -1.4853E-02
    0.43220     1.9128E+00     3.7799E-01    -3.8202E-01    -8.2570E-01     0.0000E+00     2.2329-314    -1.4665E-02
    0.54024     1.8607E+00     3.9398E-01    -4.8237E-01    -7.2146E-01     0.0000E+00     2.2329-314     8.1630E-03
    0.64829     1.8021E+00     4.1335E-01    -5.4217E-01    -6.0430E-01     0.0000E+00     2.2329-314    -3.3196E-02
    0.75634     1.7337E+00     4.3806E-01    -6.3337E-01    -4.6743E-01     0.0000E+00     2.2329-314    -1.2696E-02
    0.86439     1.6599E+00     4.6760E-01    -6.8314E-01    -3.1980E-01     0.0000E+00     2.2329-314    -4.5670E-02
    0.97244     1.5784E+00     5.0426E-01    -7.5386E-01    -1.5690E-01     0.0000E+00     2.2329-314     7.5896E-02
    1.08049     1.5075E+00     5.4025E-01    -6.5630E-01    -1.5071E-02     0.0000E+00     2.2329-314     7.9447E-03
    1.18854     1.4401E+00     5.7865E-01    -6.2416E-01     1.1981E-01     0.0000E+00     2.2329-314    -7.0763E-02
    1.29659     1.3667E+00     6.2588E-01    -6.7928E-01     2.6660E-01     0.0000E+00     2.2329-314     2.5150E-02
    1.40464     1.3039E+00     6.7165E-01    -5.8140E-01     3.9224E-01     0.0000E+00     2.2329-314    -4.9181E-02
    1.51269     1.2420E+00     7.2247E-01    -5.7277E-01     5.1601E-01     0.0000E+00     2.2329-314    -3.8390E-02
    1.62073     1.1851E+00     7.7516E-01    -5.2693E-01     6.2988E-01     0.0000E+00     2.2329-314    -1.0319E-02
    1.72878     1.1423E+00     8.1907E-01    -3.9561E-01     7.1537E-01     0.0000E+00     2.2329-314    -3.5150E-02
    1.83683     1.1128E+00     8.5192E-01    -2.7354E-01     7.7449E-01     0.0000E+00     2.2329-314     1.5013E-01
    1.94488     1.1570E+00     8.0349E-01     4.0980E-01     6.8593E-01     0.0000E+00     2.2329-314    -4.4211E-03
    2.05293     1.2031E+00     7.5780E-01     4.2617E-01     5.9383E-01     0.0000E+00     2.2329-314    -3.5593E-02
    2.16098     1.2427E+00     7.2187E-01     3.6654E-01     5.1463E-01     0.0000E+00     2.2329-314     6.9725E-02
    2.26903     1.2979E+00     6.7630E-01     5.1098E-01     4.0420E-01     0.0000E+00     2.2329-314     7.2757E-02
    2.37708     1.3627E+00     6.2865E-01     5.9956E-01     2.7464E-01     0.0000E+00     2.2329-314    -7.6344E-02
