BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.100 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2329-314    -7.0914E-02
    0.21610     1.9803E+00     3.5883E-01    -1.8200E-01    -9.6067E-01     0.0000E+00     2.2329-314     3.9279E-02
    0.32415     1.9543E+00     3.6602E-01    -2.4057E-01    -9.0868E-01     0.0000E+00     2.2329-314    -8.2422E-04
    0.43220     1.9185E+00     3.7633E-01    -3.3188E-01    -8.3696E-01     0.0000E+00     2.2329-314     4.5639E-02
    0.54024     1.8791E+00     3.8821E-01    -3.6415E-01    -7.5827E-01     0.0000E+00     2.2329-314    -4.9201E-02
    0.64829     1.8270E+00     4.0496E-01    -4.8292E-01    -6.5391E-01     0.0000E+00     2.2329-314     2.8694E-02
    0.75634     1.7724E+00     4.2381E-01    -5.0516E-01    -5.4475E-01     0.0000E+00     2.2329-314     4.6928E-02
    0.86439     1.7189E+00     4.4373E-01    -4.9483E-01    -4.3782E-01     0.0000E+00     2.2329-314    -3.7730E-03
    0.97244     1.6623E+00     4.6661E-01    -5.2426E-01    -3.2452E-01     0.0000E+00     2.2329-314    -9.5112E-03
    1.08049     1.6034E+00     4.9253E-01    -5.4468E-01    -2.0682E-01     0.0000E+00     2.2329-314     1.1700E-01
    1.18854     1.5582E+00     5.1413E-01    -4.1857E-01    -1.1637E-01     0.0000E+00     2.2329-314    -7.3728E-03
    1.29659     1.5132E+00     5.3724E-01    -4.1659E-01    -2.6345E-02     0.0000E+00     2.2329-314     2.0419E-02
    1.40464     1.4727E+00     5.5954E-01    -3.7457E-01     5.4600E-02     0.0000E+00     2.2329-314    -7.6696E-02
    1.51269     1.4266E+00     5.8688E-01    -4.2671E-01     1.4681E-01     0.0000E+00     2.2329-314     1.0270E-02
    1.62073     1.3863E+00     6.1264E-01    -3.7277E-01     2.2737E-01     0.0000E+00     2.2329-314     4.6041E-02
    1.72878     1.3568E+00     6.3276E-01    -2.7346E-01     2.8646E-01     0.0000E+00     2.2329-314    -3.4384E-03
    1.83683     1.3324E+00     6.5018E-01    -2.2532E-01     3.3515E-01     0.0000E+00     2.2329-314    -1.6701E-02
    1.94488     1.3121E+00     6.6537E-01    -1.8835E-01     3.7585E-01     0.0000E+00     2.2329-314    -2.5074E-02
    2.05293     1.2950E+00     6.7855E-01    -1.5777E-01     4.0995E-01     0.0000E+00     2.2329-314     7.9756E-03
    2.16098     1.2854E+00     6.8620E-01    -8.9305E-02     4.2924E-01     0.0000E+00     2.2329-314    -2.1862E-02
    2.26903     1.2793E+00     6.9106E-01    -5.5839E-02     4.4131E-01     0.0000E+00     2.2329-314    -4.9130E-02
    2.37708     1.2736E+00     6.9574E-01    -5.3093E-02     4.5278E-01     0.0000E+00     2.2329-314    -4.0694E-02
