BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.000 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2329-314     7.2769E-02
    0.21610     1.9962E+00     3.5457E-01    -3.5280E-02    -9.9238E-01     0.0000E+00     2.2329-314    -7.7332E-02
    0.32415     1.9726E+00     3.6095E-01    -2.1849E-01    -9.4516E-01     0.0000E+00     2.2329-314     1.7713E-02
    0.43220     1.9408E+00     3.6986E-01    -2.9438E-01    -8.8155E-01     0.0000E+00     2.2329-314     1.6736E-02
    0.54024     1.9018E+00     3.8130E-01    -3.6113E-01    -8.0351E-01     0.0000E+00     2.2329-314     2.1517E-03
    0.64829     1.8552E+00     3.9575E-01    -4.3091E-01    -7.1039E-01     0.0000E+00     2.2329-314    -5.5667E-02
    0.75634     1.7963E+00     4.1536E-01    -5.4491E-01    -5.9263E-01     0.0000E+00     2.2329-314    -4.8179E-02
    0.86439     1.7280E+00     4.4025E-01    -6.3267E-01    -4.5592E-01     0.0000E+00     2.2329-314     5.6321E-02
    0.97244     1.6636E+00     4.6604E-01    -5.9551E-01    -3.2723E-01     0.0000E+00     2.2329-314     5.9816E-02
    1.08049     1.6052E+00     4.9173E-01    -5.4107E-01    -2.1030E-01     0.0000E+00     2.2329-314    -1.8280E-02
    1.18854     1.5454E+00     5.2054E-01    -5.5332E-01    -9.0731E-02     0.0000E+00     2.2329-314    -2.8647E-02
    1.29659     1.4848E+00     5.5272E-01    -5.6065E-01     3.0425E-02     0.0000E+00     2.2329-314    -3.0870E-03
    1.40464     1.4278E+00     5.8611E-01    -5.2697E-01     1.4430E-01     0.0000E+00     2.2329-314    -5.3816E-02
    1.51269     1.3704E+00     6.2336E-01    -5.3182E-01     2.5923E-01     0.0000E+00     2.2329-314    -2.5588E-02
    1.62073     1.3171E+00     6.6160E-01    -4.9358E-01     3.6589E-01     0.0000E+00     2.2329-314    -8.9859E-02
    1.72878     1.2621E+00     7.0528E-01    -5.0862E-01     4.7580E-01     0.0000E+00     2.2329-314     4.1132E-02
    1.83683     1.2213E+00     7.4088E-01    -3.7732E-01     5.5734E-01     0.0000E+00     2.2329-314     8.2844E-02
    1.94488     1.1993E+00     7.6141E-01    -2.0405E-01     6.0143E-01     0.0000E+00     2.2329-314     1.1661E-02
    2.05293     1.1873E+00     7.7293E-01    -1.1062E-01     6.2534E-01     0.0000E+00     2.2329-314     3.2153E-02
    2.16098     1.1872E+00     7.7311E-01    -1.6601E-03     6.2570E-01     0.0000E+00     2.2329-314    -4.9329E-02
    2.26903     1.1890E+00     7.7134E-01     1.6756E-02     6.2208E-01     0.0000E+00     2.2329-314     3.1203E-02
    2.37708     1.2013E+00     7.5953E-01     1.1378E-01     5.9749E-01     0.0000E+00     2.2329-314    -7.1765E-02
