BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.200 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2329-314    -5.4822E-02
    0.21610     1.9818E+00     3.5844E-01    -1.6849E-01    -9.6359E-01     0.0000E+00     2.2329-314     7.6217E-03
    0.32415     1.9535E+00     3.6625E-01    -2.6184E-01    -9.0701E-01     0.0000E+00     2.2329-314    -1.5393E-02
    0.43220     1.9136E+00     3.7776E-01    -3.6915E-01    -8.2723E-01     0.0000E+00     2.2329-314    -9.3400E-02
    0.54024     1.8548E+00     3.9588E-01    -5.4453E-01    -7.0956E-01     0.0000E+00     2.2329-314    -1.2873E-02
    0.64829     1.7882E+00     4.1818E-01    -6.1600E-01    -5.7645E-01     0.0000E+00     2.2329-314    -3.9154E-02
    0.75634     1.7129E+00     4.4605E-01    -6.9677E-01    -4.2588E-01     0.0000E+00     2.2329-314     4.8423E-03
    0.86439     1.6362E+00     4.7779E-01    -7.1008E-01    -2.7243E-01     0.0000E+00     2.2329-314    -4.5123E-03
    0.97244     1.5591E+00     5.1369E-01    -7.1396E-01    -1.1814E-01     0.0000E+00     2.2329-314    -7.9655E-02
    1.08049     1.4748E+00     5.5834E-01    -7.7993E-01     5.0396E-02     0.0000E+00     2.2329-314     3.6698E-03
    1.18854     1.3958E+00     6.0641E-01    -7.3123E-01     2.0841E-01     0.0000E+00     2.2329-314    -3.4020E-02
    1.29659     1.3196E+00     6.5971E-01    -7.0554E-01     3.6088E-01     0.0000E+00     2.2329-314    -6.1735E-02
    1.40464     1.2447E+00     7.2010E-01    -6.9263E-01     5.1056E-01     0.0000E+00     2.2329-314     1.0605E-02
    1.51269     1.1828E+00     7.7734E-01    -5.7273E-01     6.3432E-01     0.0000E+00     2.2329-314    -2.8480E-02
    1.62073     1.1305E+00     8.3190E-01    -4.8402E-01     7.3892E-01     0.0000E+00     2.2329-314     4.2320E-02
    1.72878     1.0997E+00     8.6719E-01    -2.8587E-01     8.0069E-01     0.0000E+00     2.2329-314    -8.8676E-02
    1.83683     1.0714E+00     9.0171E-01    -2.6138E-01     8.5718E-01     0.0000E+00     2.2329-314    -7.7251E-02
    1.94488     1.0484E+00     9.3151E-01    -2.1267E-01     9.0313E-01     0.0000E+00     2.2329-314    -6.1865E-02
    2.05293     1.0337E+00     9.5149E-01    -1.3633E-01     9.3259E-01     0.0000E+00     2.2329-314    -6.2269E-02
    2.16098     1.0270E+00     9.6077E-01    -6.1693E-02     9.4593E-01     0.0000E+00     2.2329-314    -9.8124E-02
    2.26903     1.0219E+00     9.6808E-01    -4.7897E-02     9.5628E-01     0.0000E+00     2.2329-314     5.8282E-02
    2.37708     1.0441E+00     9.3736E-01     2.0554E-01     9.1186E-01     0.0000E+00     2.2329-314     2.8346E-02
