BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.600 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2329-314    -2.6909E-02
    0.21610     1.9838E+00     3.5789E-01    -1.4998E-01    -9.6759E-01     0.0000E+00     2.2329-314    -4.2648E-02
    0.32415     1.9505E+00     3.6709E-01    -3.0801E-01    -9.0103E-01     0.0000E+00     2.2329-314     3.0994E-02
    0.43220     1.9105E+00     3.7870E-01    -3.7068E-01    -8.2092E-01     0.0000E+00     2.2329-314     3.0291E-02
    0.54024     1.8648E+00     3.9269E-01    -4.2267E-01    -7.2959E-01     0.0000E+00     2.2329-314    -7.7199E-02
    0.64829     1.8016E+00     4.1355E-01    -5.8526E-01    -6.0311E-01     0.0000E+00     2.2329-314     1.6464E-03
    0.75634     1.7325E+00     4.3851E-01    -6.3873E-01    -4.6508E-01     0.0000E+00     2.2329-314     6.9927E-02
    0.86439     1.6684E+00     4.6402E-01    -5.9325E-01    -3.3688E-01     0.0000E+00     2.2329-314     1.1608E-02
    0.97244     1.6034E+00     4.9255E-01    -6.0223E-01    -2.0674E-01     0.0000E+00     2.2329-314     9.0877E-02
    1.08049     1.5501E+00     5.1817E-01    -4.9325E-01    -1.0015E-01     0.0000E+00     2.2329-314     6.1578E-02
    1.18854     1.5063E+00     5.4094E-01    -4.0553E-01    -1.2515E-02     0.0000E+00     2.2329-314     3.1342E-02
    1.29659     1.4690E+00     5.6166E-01    -3.4494E-01     6.2026E-02     0.0000E+00     2.2329-314    -7.3383E-02
    1.40464     1.4235E+00     5.8877E-01    -4.2058E-01     1.5291E-01     0.0000E+00     2.2329-314     2.3613E-02
    1.51269     1.3868E+00     6.1235E-01    -3.4049E-01     2.2649E-01     0.0000E+00     2.2329-314     2.9545E-02
    1.62073     1.3612E+00     6.2968E-01    -2.3660E-01     2.7762E-01     0.0000E+00     2.2329-314    -1.8844E-02
    1.72878     1.3394E+00     6.4511E-01    -2.0167E-01     3.2120E-01     0.0000E+00     2.2329-314    -1.6957E-03
    1.83683     1.3253E+00     6.5544E-01    -1.3059E-01     3.4942E-01     0.0000E+00     2.2329-314    -2.3685E-02
    1.94488     1.3150E+00     6.6314E-01    -9.5117E-02     3.6998E-01     0.0000E+00     2.2329-314    -7.4186E-02
    2.05293     1.2991E+00     6.7533E-01    -1.4693E-01     4.0173E-01     0.0000E+00     2.2329-314    -6.8672E-02
    2.16098     1.2797E+00     6.9077E-01    -1.7981E-01     4.4059E-01     0.0000E+00     2.2329-314     1.8736E-02
    2.26903     1.2756E+00     6.9408E-01    -3.7636E-02     4.4872E-01     0.0000E+00     2.2329-314     1.5250E-02
    2.37708     1.2851E+00     6.8646E-01     8.7200E-02     4.2988E-01     0.0000E+00     2.2329-314    -1.2562E-01
