BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.000 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
#  Time        Position ∆            Position X            Angle Θ
 
 
#    1
    0.10805,        2.0000E+00,
    0.21610,        1.9962E+00,
    0.32415,        1.9726E+00,
    0.43220,        1.9408E+00,
    0.54024,        1.9018E+00,
    0.64829,        1.8552E+00,
    0.75634,        1.7963E+00,
    0.86439,        1.7280E+00,
    0.97244,        1.6636E+00,
    1.08049,        1.6052E+00,
    1.18854,        1.5454E+00,
    1.29659,        1.4848E+00,
    1.40464,        1.4278E+00,
    1.51269,        1.3704E+00,
    1.62073,        1.3171E+00,
    1.72878,        1.2621E+00,
    1.83683,        1.2213E+00,
    1.94488,        1.1993E+00,
    2.05293,        1.1873E+00,
    2.16098,        1.1872E+00,
    2.26903,        1.1890E+00,
    2.37708,        1.2013E+00,
    2.48513,        1.2118E+00,
    2.59318,        1.2295E+00,
    2.70122,        1.2643E+00,
    2.80927,        1.2953E+00,
    2.91732,        1.3326E+00,
    3.02537,        1.3750E+00,
    3.13342,        1.4173E+00,
    3.24147,        1.4639E+00,
    3.34952,        1.5128E+00,
    3.45757,        1.5520E+00,
    3.56562,        1.5818E+00,
    3.67367,        1.6080E+00,
    3.78171,        1.6278E+00,
    3.88976,        1.6355E+00,
    3.99781,        1.6386E+00,
    4.10586,        1.6440E+00,
    4.21391,        1.6414E+00,
    4.32196,        1.6391E+00,
    4.43001,        1.6280E+00,
    4.53806,        1.6203E+00,
    4.64611,        1.6123E+00,
    4.75416,        1.6025E+00,
    4.86220,        1.6017E+00,
    4.97025,        1.5969E+00,
    5.07830,        1.5870E+00,
    5.18635,        1.5811E+00,
    5.29440,        1.5656E+00,
    5.40245,        1.5519E+00,
    5.51050,        1.5436E+00,
    5.61855,        1.5321E+00,
    5.72660,        1.5115E+00,
    5.83465,        1.4874E+00,
    5.94269,        1.4758E+00,
    6.05074,        1.4633E+00,
    6.15879,        1.4619E+00,
    6.26684,        1.4613E+00,
    6.37489,        1.4617E+00,
    6.48294,        1.4592E+00,
    6.59099,        1.4579E+00,
    6.69904,        1.4539E+00,
    6.80709,        1.4594E+00,
    6.91514,        1.4582E+00,
    7.02318,        1.4654E+00,
    7.13123,        1.4775E+00,
    7.23928,        1.4859E+00,
    7.34733,        1.5034E+00,
    7.45538,        1.5138E+00,
    7.56343,        1.5291E+00,
    7.67148,        1.5436E+00,
    7.77953,        1.5545E+00,
    7.88758,        1.5734E+00,
    7.99562,        1.5902E+00,
    8.10367,        1.6100E+00,
    8.21172,        1.6232E+00,
    8.31977,        1.6280E+00,
    8.42782,        1.6320E+00,
    8.53587,        1.6317E+00,
 
 
#    2
    0.10805,        2.0000E+00,
    0.21610,        1.9960E+00,
    0.32415,        1.9818E+00,
    0.43220,        1.9579E+00,
    0.54024,        1.9243E+00,
    0.64829,        1.8741E+00,
    0.75634,        1.8106E+00,
    0.86439,        1.7401E+00,
    0.97244,        1.6672E+00,
    1.08049,        1.5833E+00,
    1.18854,        1.4954E+00,
    1.29659,        1.4140E+00,
    1.40464,        1.3410E+00,
    1.51269,        1.2821E+00,
    1.62073,        1.2250E+00,
    1.72878,        1.1808E+00,
    1.83683,        1.1371E+00,
    1.94488,        1.1071E+00,
    2.05293,        1.0828E+00,
    2.16098,        1.0588E+00,
    2.26903,        1.0550E+00,
    2.37708,        1.0612E+00,
    2.48513,        1.0766E+00,
    2.59318,        1.0963E+00,
    2.70122,        1.1182E+00,
    2.80927,        1.1288E+00,
    2.91732,        1.1384E+00,
    3.02537,        1.1428E+00,
    3.13342,        1.1639E+00,
    3.24147,        1.1932E+00,
    3.34952,        1.2337E+00,
    3.45757,        1.2802E+00,
    3.56562,        1.3324E+00,
    3.67367,        1.3825E+00,
    3.78171,        1.4245E+00,
    3.88976,        1.4616E+00,
    3.99781,        1.5011E+00,
    4.10586,        1.5374E+00,
    4.21391,        1.5666E+00,
    4.32196,        1.5825E+00,
    4.43001,        1.5990E+00,
    4.53806,        1.6086E+00,
    4.64611,        1.6244E+00,
    4.75416,        1.6367E+00,
    4.86220,        1.6516E+00,
    4.97025,        1.6598E+00,
    5.07830,        1.6619E+00,
    5.18635,        1.6556E+00,
    5.29440,        1.6444E+00,
    5.40245,        1.6209E+00,
    5.51050,        1.5941E+00,
    5.61855,        1.5667E+00,
    5.72660,        1.5428E+00,
    5.83465,        1.5182E+00,
    5.94269,        1.4961E+00,
    6.05074,        1.4752E+00,
    6.15879,        1.4567E+00,
    6.26684,        1.4403E+00,
    6.37489,        1.4380E+00,
    6.48294,        1.4195E+00,
    6.59099,        1.3914E+00,
    6.69904,        1.3680E+00,
    6.80709,        1.3487E+00,
    6.91514,        1.3325E+00,
    7.02318,        1.3245E+00,
    7.13123,        1.3155E+00,
    7.23928,        1.3144E+00,
    7.34733,        1.3124E+00,
    7.45538,        1.3100E+00,
    7.56343,        1.3137E+00,
    7.67148,        1.3288E+00,
    7.77953,        1.3457E+00,
    7.88758,        1.3659E+00,
    7.99562,        1.3933E+00,
    8.10367,        1.4173E+00,
    8.21172,        1.4413E+00,
    8.31977,        1.4676E+00,
    8.42782,        1.5020E+00,
    8.53587,        1.5446E+00,
 
 
#    3
    0.10805,        2.0000E+00,
    0.21610,        1.9817E+00,
    0.32415,        1.9448E+00,
    0.43220,        1.9006E+00,
    0.54024,        1.8498E+00,
    0.64829,        1.7937E+00,
    0.75634,        1.7352E+00,
    0.86439,        1.6734E+00,
    0.97244,        1.6097E+00,
    1.08049,        1.5477E+00,
    1.18854,        1.4850E+00,
    1.29659,        1.4241E+00,
    1.40464,        1.3712E+00,
    1.51269,        1.3174E+00,
    1.62073,        1.2661E+00,
    1.72878,        1.2305E+00,
    1.83683,        1.2096E+00,
    1.94488,        1.1784E+00,
    2.05293,        1.1613E+00,
    2.16098,        1.1554E+00,
    2.26903,        1.1425E+00,
    2.37708,        1.1406E+00,
    2.48513,        1.1518E+00,
    2.59318,        1.1623E+00,
    2.70122,        1.1875E+00,
    2.80927,        1.2191E+00,
    2.91732,        1.2489E+00,
    3.02537,        1.2909E+00,
    3.13342,        1.3218E+00,
    3.24147,        1.3635E+00,
    3.34952,        1.4037E+00,
    3.45757,        1.4502E+00,
    3.56562,        1.4959E+00,
    3.67367,        1.5500E+00,
    3.78171,        1.6077E+00,
    3.88976,        1.6598E+00,
    3.99781,        1.6949E+00,
    4.10586,        1.7169E+00,
    4.21391,        1.7430E+00,
    4.32196,        1.7683E+00,
    4.43001,        1.7850E+00,
    4.53806,        1.7927E+00,
    4.64611,        1.7946E+00,
    4.75416,        1.7843E+00,
    4.86220,        1.7642E+00,
    4.97025,        1.7426E+00,
    5.07830,        1.7132E+00,
    5.18635,        1.6841E+00,
    5.29440,        1.6492E+00,
    5.40245,        1.6198E+00,
    5.51050,        1.5870E+00,
    5.61855,        1.5613E+00,
    5.72660,        1.5345E+00,
    5.83465,        1.4951E+00,
    5.94269,        1.4561E+00,
    6.05074,        1.4220E+00,
    6.15879,        1.3906E+00,
    6.26684,        1.3621E+00,
    6.37489,        1.3468E+00,
    6.48294,        1.3254E+00,
    6.59099,        1.3109E+00,
    6.69904,        1.3025E+00,
    6.80709,        1.3001E+00,
    6.91514,        1.3047E+00,
    7.02318,        1.3060E+00,
    7.13123,        1.3120E+00,
    7.23928,        1.3189E+00,
    7.34733,        1.3221E+00,
    7.45538,        1.3319E+00,
    7.56343,        1.3431E+00,
    7.67148,        1.3593E+00,
    7.77953,        1.3861E+00,
    7.88758,        1.4077E+00,
    7.99562,        1.4359E+00,
    8.10367,        1.4662E+00,
    8.21172,        1.4925E+00,
    8.31977,        1.5099E+00,
    8.42782,        1.5231E+00,
    8.53587,        1.5264E+00,
 
 
#    4
    0.10805,        2.0000E+00,
    0.21610,        1.9870E+00,
    0.32415,        1.9606E+00,
    0.43220,        1.9296E+00,
    0.54024,        1.8804E+00,
    0.64829,        1.8215E+00,
    0.75634,        1.7585E+00,
    0.86439,        1.6845E+00,
    0.97244,        1.6172E+00,
    1.08049,        1.5479E+00,
    1.18854,        1.4745E+00,
    1.29659,        1.4022E+00,
    1.40464,        1.3349E+00,
    1.51269,        1.2785E+00,
    1.62073,        1.2366E+00,
    1.72878,        1.2056E+00,
    1.83683,        1.1844E+00,
    1.94488,        1.1761E+00,
    2.05293,        1.1636E+00,
    2.16098,        1.1552E+00,
    2.26903,        1.1511E+00,
    2.37708,        1.1651E+00,
    2.48513,        1.1984E+00,
    2.59318,        1.2378E+00,
    2.70122,        1.2706E+00,
    2.80927,        1.3009E+00,
    2.91732,        1.3435E+00,
    3.02537,        1.3951E+00,
    3.13342,        1.4485E+00,
    3.24147,        1.5015E+00,
    3.34952,        1.5563E+00,
    3.45757,        1.5969E+00,
    3.56562,        1.6412E+00,
    3.67367,        1.6764E+00,
    3.78171,        1.6946E+00,
    3.88976,        1.7099E+00,
    3.99781,        1.7212E+00,
    4.10586,        1.7255E+00,
    4.21391,        1.7315E+00,
    4.32196,        1.7301E+00,
    4.43001,        1.7230E+00,
    4.53806,        1.7091E+00,
    4.64611,        1.6922E+00,
    4.75416,        1.6826E+00,
    4.86220,        1.6663E+00,
    4.97025,        1.6484E+00,
