BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.700 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2329-314    -4.3476E-02
    0.21610     1.9815E+00     3.5853E-01    -1.7156E-01    -9.6293E-01     0.0000E+00     2.2329-314    -7.2306E-02
    0.32415     1.9420E+00     3.6951E-01    -3.6514E-01    -8.8402E-01     0.0000E+00     2.2329-314     3.8850E-02
    0.43220     1.8970E+00     3.8274E-01    -4.1668E-01    -7.9398E-01     0.0000E+00     2.2329-314     5.8947E-02
    0.54024     1.8503E+00     3.9733E-01    -4.3255E-01    -7.0050E-01     0.0000E+00     2.2329-314     2.7826E-02
    0.64829     1.7992E+00     4.1438E-01    -4.7283E-01    -5.9833E-01     0.0000E+00     2.2329-314    -3.9897E-02
    0.75634     1.7364E+00     4.3705E-01    -5.8091E-01    -4.7279E-01     0.0000E+00     2.2329-314     2.5116E-02
    0.86439     1.6723E+00     4.6241E-01    -5.9325E-01    -3.4459E-01     0.0000E+00     2.2329-314    -5.1195E-02
    0.97244     1.5981E+00     4.9497E-01    -6.8641E-01    -1.9626E-01     0.0000E+00     2.2329-314    -7.5940E-02
    1.08049     1.5119E+00     5.3794E-01    -7.9847E-01    -2.3711E-02     0.0000E+00     2.2329-314    -2.1776E-02
    1.18854     1.4228E+00     5.8924E-01    -8.2442E-01     1.5444E-01     0.0000E+00     2.2329-314     5.2650E-02
    1.29659     1.3452E+00     6.4095E-01    -7.1805E-01     3.0961E-01     0.0000E+00     2.2329-314     7.3660E-02
    1.40464     1.2881E+00     6.8401E-01    -5.2813E-01     4.2374E-01     0.0000E+00     2.2329-314    -2.7783E-02
    1.51269     1.2357E+00     7.2799E-01    -4.8511E-01     5.2857E-01     0.0000E+00     2.2329-314    -6.1435E-02
    1.62073     1.1819E+00     7.7830E-01    -4.9834E-01     6.3626E-01     0.0000E+00     2.2329-314    -3.4398E-02
    1.72878     1.1381E+00     8.2360E-01    -4.0487E-01     7.2375E-01     0.0000E+00     2.2329-314    -2.3050E-03
    1.83683     1.1379E+00     8.2387E-01    -2.3410E-03     7.2426E-01     0.0000E+00     2.2329-314     2.8478E-02
    1.94488     1.2018E+00     7.5900E-01     5.9187E-01     5.9636E-01     0.0000E+00     2.2329-314    -5.9360E-02
    2.05293     1.2282E+00     7.3471E-01     2.4376E-01     5.4368E-01     0.0000E+00     2.2329-314     4.3744E-02
    2.16098     1.2757E+00     6.9401E-01     4.4023E-01     4.4855E-01     0.0000E+00     2.2329-314    -4.9559E-02
    2.26903     1.3081E+00     6.6839E-01     2.9978E-01     3.8377E-01     0.0000E+00     2.2329-314     8.2564E-02
    2.37708     1.3605E+00     6.3017E-01     4.8466E-01     2.7903E-01     0.0000E+00     2.2329-314    -2.9666E-02
