BEHD @ YYE. Sim. done on 2023-10-27   17h28
### Sim. w/ κ =    0.600 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    3.84761E+03    4.81011E-04
        0.21610    1.45636E+04    1.82090E-03
        0.32415    3.11742E+04    3.89824E-03
        0.43220    5.26042E+04    6.57881E-03
        0.54024    7.77207E+04    9.72116E-03
        0.64829    1.05375E+05    1.31817E-02
        0.75634    1.34438E+05    1.68195E-02
        0.86439    1.63837E+05    2.05001E-02
        0.97244    1.92577E+05    2.40992E-02
        1.08049    2.19771E+05    2.75058E-02
        1.18854    2.44656E+05    3.06241E-02
        1.29659    2.66606E+05    3.33759E-02
        1.40464    2.85144E+05    3.57010E-02
        1.51269    2.99941E+05    3.75583E-02
        1.62073    3.10824E+05    3.89260E-02
        1.72878    3.17766E+05    3.98004E-02
        1.83683    3.20875E+05    4.01948E-02
        1.94488    3.20375E+05    4.01372E-02
        2.05293    3.16584E+05    3.96673E-02
        2.16098    3.09897E+05    3.88343E-02
        2.26903    3.00769E+05    3.76951E-02
        2.37708    2.89696E+05    3.63119E-02
        2.48513    2.77199E+05    3.47498E-02
        2.59318    2.63803E+05    3.30746E-02
        2.70122    2.50018E+05    3.13503E-02
        3.24147    1.90562E+05    2.39099E-02
        3.78171    1.70052E+05    2.13500E-02
        4.32196    1.87876E+05    2.36025E-02
        4.86220    2.18685E+05    2.74902E-02
        5.40245    2.37835E+05    2.99164E-02
        5.94269    2.37050E+05    2.98364E-02
        6.48294    2.23795E+05    2.81858E-02
        7.02318    2.10911E+05    2.65798E-02
        7.56343    2.06455E+05    2.60347E-02
        8.10367    2.10234E+05    2.65279E-02
        8.64392    2.16835E+05    2.73781E-02
        9.18416    2.20985E+05    2.79197E-02
        9.72441    2.20797E+05    2.79136E-02
       10.26465    2.17826E+05    2.75555E-02
       10.80490    2.14938E+05    2.72074E-02
       11.34514    2.13871E+05    2.70894E-02
       11.88539    2.14524E+05    2.71894E-02
       12.42563    2.15794E+05    2.73676E-02
       12.96588    2.16620E+05    2.74899E-02
       13.50612    2.16583E+05    2.75026E-02
       14.04637    2.15878E+05    2.74304E-02
       14.58661    2.15003E+05    2.73367E-02
       15.12686    2.14480E+05    2.72876E-02
       15.66710    2.14482E+05    2.73052E-02
       16.20735    2.14716E+05    2.73524E-02
       16.74759    2.14737E+05    2.73725E-02
       17.28784    2.14416E+05    2.73490E-02
       17.82808    2.14057E+05    2.73206E-02
       18.36833    2.14013E+05    2.73325E-02
       18.90857    2.14145E+05    2.73667E-02
       19.44882    2.14088E+05    2.73770E-02
       19.98906    2.13807E+05    2.73585E-02
       20.52931    2.13473E+05    2.73333E-02
       21.06955    2.13236E+05    2.73204E-02
       21.60980    2.13095E+05    2.73198E-02
       22.15004    2.13042E+05    2.73306E-02
       22.69029    2.13060E+05    2.73504E-02
       23.23053    2.13118E+05    2.73754E-02
       23.77078    2.13173E+05    2.74001E-02
       24.31102    2.13102E+05    2.74087E-02
       24.85127    2.12812E+05    2.73890E-02
       25.39151    2.12363E+05    2.73487E-02
       25.93176    2.11921E+05    2.73094E-02
       26.47200    2.11696E+05    2.72981E-02
       27.01225    2.11827E+05    2.73326E-02
       27.55249    2.12151E+05    2.73920E-02
       28.09274    2.12316E+05    2.74310E-02
       28.63298    2.12164E+05    2.74291E-02
       29.17323    2.11630E+05    2.73778E-02
       29.71347    2.10947E+05    2.73070E-02
       30.25372    2.10609E+05    2.72810E-02
       30.79396    2.10742E+05    2.73158E-02
       31.33421    2.11116E+05    2.73821E-02
       31.87445    2.11365E+05    2.74322E-02
       32.41470    2.11301E+05    2.74416E-02
       32.95494    2.11028E+05    2.74240E-02
       33.49519    2.10659E+05    2.73939E-02
       34.03543    2.10312E+05    2.73665E-02
       34.57568    2.10045E+05    2.73497E-02
       35.11592    2.09840E+05    2.73407E-02
       35.65617    2.09730E+05    2.73442E-02
       36.19641    2.09726E+05    2.73615E-02
       36.73666    2.09774E+05    2.73857E-02
       37.27690    2.09842E+05    2.74124E-02
       37.81715    2.09770E+05    2.74209E-02
       38.35739    2.09451E+05    2.73972E-02
       38.89763    2.09092E+05    2.73681E-02
       39.43788    2.08945E+05    2.73668E-02
       39.97812    2.09001E+05    2.73921E-02
       40.51837    2.09101E+05    2.74231E-02
       41.05861    2.08975E+05    2.74246E-02
       41.59886    2.08447E+05    2.73731E-02
       42.13910    2.07861E+05    2.73142E-02
       42.67935    2.07678E+05    2.73080E-02
       43.21959    2.07858E+05    2.73497E-02
       43.75984    2.08028E+05    2.73901E-02
       44.30008    2.07897E+05    2.73910E-02
       44.84033    2.07497E+05    2.73562E-02
       45.38057    2.07177E+05    2.73321E-02
       45.92082    2.07221E+05    2.73558E-02
       46.46106    2.07415E+05    2.73997E-02
       47.00131    2.07368E+05    2.74115E-02
       47.54155    2.07031E+05    2.73850E-02
       48.08180    2.06648E+05    2.73525E-02
       48.62204    2.06452E+05    2.73446E-02
       49.16229    2.06446E+05    2.73619E-02
       49.70253    2.06451E+05    2.73808E-02
       50.24278    2.06329E+05    2.73827E-02
       50.78302    2.06048E+05    2.73636E-02
       51.32327    2.05712E+05    2.73372E-02
       51.86351    2.05512E+05    2.73287E-02
       52.40376    2.05578E+05    2.73557E-02
       52.94400    2.05707E+05    2.73911E-02
       53.48425    2.05660E+05    2.74031E-02
       54.02449    2.05500E+05    2.73999E-02
       54.56474    2.05299E+05    2.73914E-02
       55.10498    2.05115E+05    2.73852E-02
