BEHD @ YYE. Sim. done on 2023-10-27   17h 7
### Sim. w/ κ =    0.300 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    2.74774E+03    3.92590E-04
        0.21610    1.05343E+04    1.50533E-03
        0.32415    2.27968E+04    3.25808E-03
        0.43220    3.88885E+04    5.55868E-03
        0.54024    5.81025E+04    8.30629E-03
        0.64829    7.96950E+04    1.13948E-02
        0.75634    1.02908E+05    1.47158E-02
        0.86439    1.26989E+05    1.81621E-02
        0.97244    1.51216E+05    2.16300E-02
        1.08049    1.74907E+05    2.50225E-02
        1.18854    1.97446E+05    2.82509E-02
        1.29659    2.18287E+05    3.12374E-02
        1.40464    2.36972E+05    3.39161E-02
        1.51269    2.53130E+05    3.62340E-02
        1.62073    2.66493E+05    3.81521E-02
        1.72878    2.76884E+05    3.96455E-02
        1.83683    2.84227E+05    4.07027E-02
        1.94488    2.88534E+05    4.13254E-02
        2.05293    2.89901E+05    4.15272E-02
        2.16098    2.88499E+05    4.13322E-02
        2.26903    2.84560E+05    4.07738E-02
        2.37708    2.78369E+05    3.98924E-02
        2.48513    2.70250E+05    3.87345E-02
        2.59318    2.60558E+05    3.73506E-02
        2.70122    2.49663E+05    3.57940E-02
        5.40245    1.96500E+05    2.82734E-02
       10.80490    1.94342E+05    2.81655E-02
       16.20735    1.87461E+05    2.73665E-02
       21.60980    1.86354E+05    2.74050E-02
       27.01225    1.85441E+05    2.74727E-02
       32.41470    1.84242E+05    2.74987E-02
       37.81715    1.82103E+05    2.73839E-02
       43.21959    1.80904E+05    2.74096E-02
       48.62204    1.79792E+05    2.74492E-02
       54.02449    1.78600E+05    2.74769E-02
       59.42694    1.77315E+05    2.74907E-02
       64.82939    1.76004E+05    2.75007E-02
       70.23184    1.74154E+05    2.74258E-02
       75.63429    1.73277E+05    2.75043E-02
       81.03674    1.71978E+05    2.75164E-02
       86.43919    1.70107E+05    2.74365E-02
       91.84164    1.69424E+05    2.75487E-02
       97.24409    1.67467E+05    2.74536E-02
      102.64654    1.66424E+05    2.75081E-02
      108.04899    1.64800E+05    2.74666E-02
      113.45144    1.63586E+05    2.74934E-02
      118.85388    1.62067E+05    2.74690E-02
      124.25633    1.61427E+05    2.75943E-02
      129.65878    1.59412E+05    2.74848E-02
      135.06123    1.58352E+05    2.75396E-02
      140.46368    1.56963E+05    2.75373E-02
      145.86613    1.55495E+05    2.75212E-02
      151.26858    1.54278E+05    2.75496E-02
      156.67103    1.53128E+05    2.75906E-02
      162.07348    1.51431E+05    2.75330E-02
      167.47593    1.49818E+05    2.74896E-02
      172.87838    1.48773E+05    2.75505E-02
      178.28083    1.47114E+05    2.74979E-02
      183.68328    1.46165E+05    2.75783E-02
      189.08573    1.44815E+05    2.75837E-02
      194.48817    1.43221E+05    2.75424E-02
      199.89062    1.42032E+05    2.75791E-02
      205.29307    1.40081E+05    2.74669E-02
      210.69552    1.39387E+05    2.76015E-02
      216.09797    1.37938E+05    2.75877E-02
      221.50042    1.36688E+05    2.76138E-02
      226.90287    1.35237E+05    2.75995E-02
      232.30532    1.34012E+05    2.76313E-02
      237.70777    1.32521E+05    2.76085E-02
      243.11022    1.30487E+05    2.74708E-02
      248.51267    1.29702E+05    2.75961E-02
      253.91512    1.28666E+05    2.76701E-02
      259.31757    1.26833E+05    2.75724E-02
      264.72002    1.25603E+05    2.76051E-02
      270.12246    1.24056E+05    2.75680E-02
      275.52491    1.22760E+05    2.75865E-02
      280.92736    1.21990E+05    2.77250E-02
      286.32981    1.20004E+05    2.75872E-02
      291.73226    1.18494E+05    2.75566E-02
      297.13471    1.17041E+05    2.75391E-02
      302.53716    1.16167E+05    2.76589E-02
      307.93961    1.14953E+05    2.76996E-02
      313.34206    1.13515E+05    2.76866E-02
      318.74451    1.11899E+05    2.76293E-02
      324.14696    1.10594E+05    2.76484E-02
      329.54941    1.09143E+05    2.76311E-02
      334.95186    1.07909E+05    2.76689E-02
      340.35431    1.06568E+05    2.76799E-02
      345.75675    1.04759E+05    2.75682E-02
      351.15920    1.03754E+05    2.76676E-02
      356.56165    1.02607E+05    2.77316E-02
      361.96410    1.01022E+05    2.76772E-02
      367.36655    9.96633E+04    2.76843E-02
      372.76900    9.83647E+04    2.77084E-02
      378.17145    9.70767E+04    2.77362E-02
      383.57390    9.55612E+04    2.76989E-02
      388.97635    9.44510E+04    2.77797E-02
      394.37880    9.28975E+04    2.77306E-02
      399.78125    9.16192E+04    2.77634E-02
      405.18370    9.02624E+04    2.77730E-02
      410.58615    8.93334E+04    2.79167E-02
      415.98860    8.77032E+04    2.78423E-02
      421.39104    8.63138E+04    2.78431E-02
      426.79349    8.48986E+04    2.78356E-02
      432.19594    8.31650E+04    2.77217E-02
      437.59839    8.22508E+04    2.78816E-02
      443.00084    8.09704E+04    2.79208E-02
      448.40329    7.95273E+04    2.79043E-02
      453.80574    7.77332E+04    2.77619E-02
      459.20819    7.70267E+04    2.80097E-02
      464.61064    7.52344E+04    2.78646E-02
      470.01309    7.40393E+04    2.79394E-02
      475.41554    7.26173E+04    2.79297E-02
      480.81799    7.10018E+04    2.78439E-02
      486.22044    6.97415E+04    2.78966E-02
