BEHD @ YYE. Sim. done on 2023-10-28   12h11
### Sim. w/ κ =    0.100 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    2.79629E+03    3.49580E-04
        0.21610    1.07714E+04    1.34676E-03
        0.32415    2.34093E+04    2.92726E-03
        0.43220    4.01106E+04    5.01633E-03
        0.54024    6.02126E+04    7.53128E-03
        0.64829    8.30081E+04    1.03838E-02
        0.75634    1.07766E+05    1.34826E-02
        0.86439    1.33751E+05    1.67356E-02
        0.97244    1.60241E+05    2.00527E-02
        1.08049    1.86547E+05    2.33476E-02
        1.18854    2.12027E+05    2.65398E-02
        1.29659    2.36097E+05    2.95565E-02
        1.40464    2.58248E+05    3.23336E-02
        1.51269    2.78050E+05    3.48172E-02
        1.62073    2.95158E+05    3.69641E-02
        1.72878    3.09318E+05    3.87422E-02
        1.83683    3.20363E+05    4.01307E-02
        1.94488    3.28218E+05    4.11198E-02
        2.05293    3.32888E+05    4.17101E-02
        2.16098    3.34460E+05    4.19123E-02
        2.26903    3.33090E+05    4.17458E-02
        2.37708    3.28996E+05    4.12379E-02
        2.48513    3.22450E+05    4.04225E-02
        2.59318    3.13766E+05    3.93387E-02
        2.70122    3.03288E+05    3.80298E-02
        2.80927    2.91386E+05    3.65420E-02
        2.91732    2.78440E+05    3.49229E-02
        3.02537    2.64832E+05    3.32203E-02
        3.13342    2.50935E+05    3.14810E-02
        3.24147    2.37107E+05    2.97500E-02
        3.34952    2.23681E+05    2.80689E-02
        3.45757    2.10959E+05    2.64758E-02
        3.56562    1.99208E+05    2.50042E-02
        3.67367    1.88655E+05    2.36825E-02
        3.78171    1.79481E+05    2.25338E-02
        3.88976    1.71826E+05    2.15754E-02
        3.99781    1.65782E+05    2.08190E-02
        4.10586    1.61395E+05    2.02707E-02
        4.21391    1.58670E+05    1.99310E-02
        4.32196    1.57571E+05    1.97953E-02
        4.43001    1.58022E+05    1.98545E-02
        4.53806    1.59916E+05    2.00950E-02
        4.64611    1.63116E+05    2.04997E-02
        4.75416    1.67463E+05    2.10486E-02
        4.86220    1.72779E+05    2.17195E-02
        4.97025    1.78872E+05    2.24883E-02
        5.07830    1.85544E+05    2.33301E-02
        5.18635    1.92595E+05    2.42196E-02
        5.29440    1.99825E+05    2.51321E-02
        5.40245    2.07046E+05    2.60436E-02
        5.51050    2.14080E+05    2.69317E-02
        5.61855    2.20763E+05    2.77760E-02
        5.72660    2.26954E+05    2.85585E-02
        5.83465    2.32530E+05    2.92638E-02
        5.94269    2.37393E+05    2.98796E-02
        6.05074    2.41468E+05    3.03962E-02
        6.15879    2.44701E+05    3.08072E-02
        6.26684    2.47068E+05    3.11090E-02
        6.37489    2.48561E+05    3.13010E-02
        6.48294    2.49201E+05    3.13855E-02
        6.59099    2.49022E+05    3.13669E-02
        6.69904    2.48079E+05    3.12521E-02
        6.80709    2.46443E+05    3.10499E-02
        6.91514    2.44196E+05    3.07707E-02
        7.02318    2.41432E+05    3.04262E-02
        7.13123    2.38250E+05    3.00289E-02
        7.23928    2.34752E+05    2.95918E-02
        7.34733    2.31044E+05    2.91281E-02
        7.45538    2.27230E+05    2.86508E-02
        7.56343    2.23409E+05    2.81726E-02
        7.67148    2.19675E+05    2.77053E-02
        7.77953    2.16115E+05    2.72597E-02
        7.88758    2.12802E+05    2.68452E-02
        7.99562    2.09804E+05    2.64703E-02
        8.10367    2.07172E+05    2.61416E-02
        8.21172    2.04948E+05    2.58642E-02
        8.31977    2.03159E+05    2.56417E-02
        8.42782    2.01822E+05    2.54761E-02
        8.53587    2.00938E+05    2.53678E-02
        8.64392    2.00501E+05    2.53158E-02
        8.75197    2.00492E+05    2.53178E-02
        8.86002    2.00882E+05    2.53703E-02
        8.96807    2.01636E+05    2.54687E-02
        9.07611    2.02710E+05    2.56077E-02
        9.18416    2.04058E+05    2.57811E-02
        9.29221    2.05626E+05    2.59826E-02
        9.40026    2.07362E+05    2.62052E-02
        9.50831    2.09210E+05    2.64421E-02
        9.61636    2.11117E+05    2.66865E-02
        9.72441    2.13031E+05    2.69319E-02
        9.83246    2.14903E+05    2.71720E-02
        9.94051    2.16689E+05    2.74013E-02
       10.04856    2.18350E+05    2.76148E-02
       10.15660    2.19852E+05    2.78082E-02
       10.26465    2.21167E+05    2.79781E-02
       10.37270    2.22274E+05    2.81217E-02
       10.48075    2.23159E+05    2.82373E-02
       10.58880    2.23814E+05    2.83237E-02
       10.69685    2.24237E+05    2.83809E-02
       10.80490    2.24433E+05    2.84092E-02
       10.91295    2.24411E+05    2.84100E-02
       11.02100    2.24184E+05    2.83850E-02
       11.12905    2.23773E+05    2.83364E-02
       11.23709    2.23196E+05    2.82670E-02
       11.34514    2.22479E+05    2.81798E-02
       11.45319    2.21648E+05    2.80780E-02
       11.56124    2.20729E+05    2.79652E-02
       11.66929    2.19751E+05    2.78448E-02
