BEHD @ YYE. Sim. done on 2023-10-28   12h11
### Sim. w/ κ =    0.500 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    3.59092E+03    4.48921E-04
        0.21610    1.36680E+04    1.70892E-03
        0.32415    2.93917E+04    3.67535E-03
        0.43220    4.98182E+04    6.23039E-03
        0.54024    7.39363E+04    9.24781E-03
        0.64829    1.00705E+05    1.25976E-02
        0.75634    1.29089E+05    1.61502E-02
        0.86439    1.58082E+05    1.97801E-02
        0.97244    1.86744E+05    2.33692E-02
        1.08049    2.14213E+05    2.68101E-02
        1.18854    2.39732E+05    3.00078E-02
        1.29659    2.62663E+05    3.28822E-02
        1.40464    2.82495E+05    3.53693E-02
        1.51269    2.98854E+05    3.74222E-02
        1.62073    3.11504E+05    3.90111E-02
        1.72878    3.20345E+05    4.01234E-02
        1.83683    3.25406E+05    4.07624E-02
        1.94488    3.26834E+05    4.09463E-02
        2.05293    3.24867E+05    4.07051E-02
        2.16098    3.19834E+05    4.00794E-02
        2.26903    3.12123E+05    3.91181E-02
        2.37708    3.02176E+05    3.78761E-02
        2.48513    2.90465E+05    3.64129E-02
        2.59318    2.77485E+05    3.47901E-02
        2.70122    2.63732E+05    3.30698E-02
        2.80927    2.49685E+05    3.13124E-02
        2.91732    2.35800E+05    2.95749E-02
        3.02537    2.22493E+05    2.79093E-02
        3.13342    2.10128E+05    2.63616E-02
        3.24147    1.99015E+05    2.49705E-02
        3.34952    1.89398E+05    2.37668E-02
        3.45757    1.81458E+05    2.27733E-02
        3.56562    1.75308E+05    2.20043E-02
        3.67367    1.71000E+05    2.14662E-02
        3.78171    1.68522E+05    2.11578E-02
        3.88976    1.67807E+05    2.10707E-02
        3.99781    1.68740E+05    2.11905E-02
        4.10586    1.71162E+05    2.14974E-02
        4.21391    1.74882E+05    2.19673E-02
        4.32196    1.79683E+05    2.25732E-02
        4.43001    1.85332E+05    2.32858E-02
        4.53806    1.91588E+05    2.40749E-02
        4.64611    1.98208E+05    2.49099E-02
        4.75416    2.04959E+05    2.57615E-02
        4.86220    2.11619E+05    2.66020E-02
        4.97025    2.17990E+05    2.74064E-02
        5.07830    2.23898E+05    2.81526E-02
        5.18635    2.29196E+05    2.88224E-02
        5.29440    2.33770E+05    2.94013E-02
        5.40245    2.37534E+05    2.98785E-02
        5.51050    2.40437E+05    3.02474E-02
        5.61855    2.42455E+05    3.05051E-02
        5.72660    2.43594E+05    3.06523E-02
        5.83465    2.43887E+05    3.06930E-02
        5.94269    2.43390E+05    3.06344E-02
        6.05074    2.42180E+05    3.04859E-02
        6.15879    2.40348E+05    3.02592E-02
        6.26684    2.37999E+05    2.99671E-02
        6.37489    2.35244E+05    2.96239E-02
        6.48294    2.32198E+05    2.92440E-02
        6.59099    2.28976E+05    2.88419E-02
        6.69904    2.25692E+05    2.84318E-02
        6.80709    2.22450E+05    2.80270E-02
        6.91514    2.19348E+05    2.76396E-02
        7.02318    2.16469E+05    2.72803E-02
        7.13123    2.13887E+05    2.69583E-02
        7.23928    2.11660E+05    2.66809E-02
