BEHD @ YYE. Sim. done on 2023-10-27   16h57
### Sim. w/ κ =    0.300 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    2.74144E+03    3.91690E-04
        0.21610    1.05092E+04    1.50175E-03
        0.32415    2.27412E+04    3.25013E-03
        0.43220    3.87923E+04    5.54493E-03
        0.54024    5.79584E+04    8.28568E-03
        0.64829    7.94981E+04    1.13666E-02
        0.75634    1.02656E+05    1.46798E-02
        0.86439    1.26684E+05    1.81184E-02
        0.97244    1.50861E+05    2.15794E-02
        1.08049    1.74512E+05    2.49660E-02
        1.18854    1.97020E+05    2.81901E-02
        1.29659    2.17845E+05    3.11742E-02
        1.40464    2.36528E+05    3.38526E-02
        1.51269    2.52703E+05    3.61728E-02
        1.62073    2.66098E+05    3.80957E-02
        1.72878    2.76541E+05    3.95963E-02
        1.83683    2.83951E+05    4.06631E-02
        1.94488    2.88340E+05    4.12977E-02
        2.05293    2.89804E+05    4.15133E-02
        2.16098    2.88510E+05    4.13338E-02
        2.26903    2.84685E+05    4.07917E-02
        2.37708    2.78612E+05    3.99271E-02
        2.48513    2.70609E+05    3.87859E-02
        2.59318    2.61028E+05    3.74180E-02
        2.70122    2.50235E+05    3.58760E-02
        3.24147    1.90890E+05    2.73873E-02
        4.32196    1.44271E+05    2.07285E-02
        5.40245    1.95714E+05    2.81603E-02
        6.48294    2.12991E+05    3.06903E-02
        7.56343    1.86052E+05    2.68473E-02
        8.64392    1.79503E+05    2.59398E-02
        9.72441    1.92532E+05    2.78628E-02
       10.80490    1.94309E+05    2.81607E-02
       11.88539    1.87518E+05    2.72160E-02
       12.96588    1.86973E+05    2.71763E-02
       14.04637    1.89836E+05    2.76326E-02
       15.12686    1.89215E+05    2.75823E-02
       16.20735    1.87323E+05    2.73464E-02
       17.28784    1.87601E+05    2.74271E-02
       18.36833    1.88294E+05    2.75686E-02
       19.44882    1.87349E+05    2.74705E-02
       20.52931    1.86561E+05    2.73951E-02
       21.60980    1.86742E+05    2.74621E-02
       22.69029    1.86778E+05    2.75078E-02
       23.77078    1.86333E+05    2.74827E-02
       24.85127    1.85764E+05    2.74393E-02
       25.93176    1.85271E+05    2.74070E-02
       27.01225    1.85259E+05    2.74457E-02
       28.09274    1.85519E+05    2.75251E-02
       29.17323    1.85061E+05    2.74979E-02
       30.25372    1.84072E+05    2.73917E-02
       31.33421    1.83992E+05    2.74205E-02
       32.41470    1.84310E+05    2.75089E-02
       33.49519    1.83782E+05    2.74712E-02
       34.57568    1.83276E+05    2.74366E-02
       35.65617    1.83340E+05    2.74872E-02
       36.73666    1.83081E+05    2.74897E-02
       37.81715    1.82394E+05    2.74276E-02
       38.89763    1.82233E+05    2.74447E-02
       39.97812    1.82331E+05    2.75010E-02
       41.05861    1.81940E+05    2.74834E-02
       42.13910    1.81420E+05    2.74462E-02
       43.21959    1.81398E+05    2.74846E-02
       44.30008    1.81166E+05    2.74911E-02
       45.38057    1.80326E+05    2.74052E-02
       46.46106    1.80136E+05    2.74179E-02
       47.54155    1.80673E+05    2.75416E-02
