BEHD @ YYE. Sim. done on 2023-10-27   16h57
### Sim. w/ κ =    0.500 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    3.13279E+03    4.47605E-04
        0.21610    1.19242E+04    1.70394E-03
        0.32415    2.56411E+04    3.66459E-03
        0.43220    4.34603E+04    6.21217E-03
        0.54024    6.45004E+04    9.22093E-03
        0.64829    8.78536E+04    1.25613E-02
        0.75634    1.12615E+05    1.61039E-02
        0.86439    1.37907E+05    1.97236E-02
        0.97244    1.62907E+05    2.33024E-02
        1.08049    1.86864E+05    2.67331E-02
        1.18854    2.09118E+05    2.99210E-02
        1.29659    2.29111E+05    3.27864E-02
        1.40464    2.46402E+05    3.52657E-02
        1.51269    2.60664E+05    3.73123E-02
        1.62073    2.71692E+05    3.88965E-02
        1.72878    2.79403E+05    4.00061E-02
        1.83683    2.83822E+05    4.06446E-02
        1.94488    2.85078E+05    4.08305E-02
        2.05293    2.83390E+05    4.05944E-02
        2.16098    2.79040E+05    3.99771E-02
        2.26903    2.72371E+05    3.90272E-02
        2.37708    2.63765E+05    3.77996E-02
        2.48513    2.53636E+05    3.63531E-02
        2.59318    2.42410E+05    3.47491E-02
        2.70122    2.30514E+05    3.30485E-02
        3.24147    1.74495E+05    2.50351E-02
        4.32196    1.57220E+05    2.25891E-02
        5.40245    2.06602E+05    2.97269E-02
        6.48294    2.02208E+05    2.91365E-02
        7.56343    1.81227E+05    2.61510E-02
        8.64392    1.87528E+05    2.70994E-02
        9.72441    1.94696E+05    2.81760E-02
       10.80490    1.89684E+05    2.74904E-02
       11.88539    1.86933E+05    2.71311E-02
       12.96588    1.89646E+05    2.75648E-02
       14.04637    1.90126E+05    2.76748E-02
       15.12686    1.88084E+05    2.74174E-02
       16.20735    1.87903E+05    2.74312E-02
       17.28784    1.88461E+05    2.75527E-02
       18.36833    1.87741E+05    2.74877E-02
       19.44882    1.87535E+05    2.74978E-02
       20.52931    1.87491E+05    2.75318E-02
       21.60980    1.86984E+05    2.74976E-02
       22.69029    1.86887E+05    2.75239E-02
       23.77078    1.86575E+05    2.75184E-02
       24.85127    1.85854E+05    2.74526E-02
       25.93176    1.85822E+05    2.74884E-02
       27.01225    1.86112E+05    2.75721E-02
       28.09274    1.85450E+05    2.75148E-02
       29.17323    1.84948E+05    2.74812E-02
       30.25372    1.84902E+05    2.75152E-02
       31.33421    1.84559E+05    2.75050E-02
       32.41470    1.84434E+05    2.75275E-02
       33.49519    1.84446E+05    2.75704E-02
       34.57568    1.83627E+05    2.74891E-02
       35.65617    1.83146E+05    2.74582E-02
       36.73666    1.83052E+05    2.74852E-02
       37.81715    1.83079E+05    2.75307E-02
       38.89763    1.82995E+05    2.75595E-02
       39.97812    1.82391E+05    2.75099E-02
       41.05861    1.81731E+05    2.74517E-02
       42.13910    1.81667E+05    2.74837E-02
       43.21959    1.81971E+05    2.75714E-02
       44.30008    1.81547E+05    2.75489E-02
       45.38057    1.80375E+05    2.74125E-02
       46.46106    1.80484E+05    2.74710E-02
       47.54155    1.81059E+05    2.76005E-02
       48.62204    1.80007E+05    2.74820E-02
       49.70253    1.79184E+05    2.73982E-02
       50.78302    1.79914E+05    2.75520E-02
       51.86351    1.79521E+05    2.75340E-02
       52.94400    1.78590E+05    2.74331E-02
       54.02449    1.78777E+05    2.75041E-02
       55.10498    1.78843E+05    2.75568E-02
       56.18547    1.78185E+05    2.74977E-02
       57.26596    1.77759E+05    2.74743E-02
       58.34645    1.77576E+05    2.74886E-02
       59.42694    1.77624E+05    2.75387E-02
       60.50743    1.77315E+05    2.75333E-02
       61.58792    1.76722E+05    2.74839E-02
       62.66841    1.76938E+05    2.75604E-02
       63.74890    1.76842E+05    2.75884E-02
       64.82939    1.75887E+05    2.74824E-02
       65.90988    1.75452E+05    2.74573E-02
       66.99037    1.75676E+05    2.75354E-02
       68.07086    1.75298E+05    2.75192E-02
       69.15135    1.74310E+05    2.74072E-02
       70.23184    1.74386E+05    2.74624E-02
       71.31233    1.74538E+05    2.75297E-02
       72.39282    1.74368E+05    2.75464E-02
       73.47331    1.74003E+05    2.75320E-02
       74.55380    1.73564E+05    2.75062E-02
       75.63429    1.73271E+05    2.75034E-02
       76.71478    1.72956E+05    2.74971E-02
       77.79527    1.72724E+05    2.75038E-02
       78.87576    1.72748E+05    2.75515E-02
       79.95625    1.72310E+05    2.75256E-02
       81.03674    1.71870E+05    2.74992E-02
       82.11723    1.71799E+05    2.75319E-02
       83.19772    1.71522E+05    2.75316E-02
       84.27821    1.71039E+05    2.74982E-02
       85.35870    1.70455E+05    2.74485E-02
       86.43919    1.70717E+05    2.75351E-02
       87.51968    1.71067E+05    2.76360E-02
       88.60017    1.70125E+05    2.75283E-02
       89.68066    1.69228E+05    2.74276E-02
       90.76115    1.69405E+05    2.75008E-02
       91.84164    1.69262E+05    2.75223E-02
       92.92213    1.69060E+05    2.75342E-02
       94.00262    1.68960E+05    2.75628E-02
       95.08311    1.68208E+05    2.74850E-02
       96.16360    1.67813E+05    2.74653E-02
       97.24409    1.68191E+05    2.75723E-02
       98.32458    1.67907E+05    2.75709E-02
       99.40507    1.67058E+05    2.74766E-02
      100.48556    1.66953E+05    2.75046E-02
      101.56605    1.67068E+05    2.75690E-02
      102.64654    1.66482E+05    2.75177E-02
      103.72703    1.65883E+05    2.74640E-02
      104.80752    1.65726E+05    2.74836E-02
      105.88801    1.65378E+05    2.74715E-02
      106.96850    1.65422E+05    2.75245E-02
      108.04899    1.65635E+05    2.76059E-02
      109.12948    1.64799E+05    2.75123E-02
      110.20997    1.63998E+05    2.74245E-02
      111.29046    1.64362E+05    2.75314E-02
      112.37095    1.63972E+05    2.75121E-02
      113.45144    1.63327E+05    2.74500E-02
      114.53192    1.63919E+05    2.75957E-02
      115.61241    1.63770E+05    2.76173E-02
      116.69290    1.62201E+05    2.73988E-02
      117.77339    1.62242E+05    2.74521E-02
      118.85388    1.63162E+05    2.76546E-02
      119.93437    1.62316E+05    2.75579E-02
      121.01486    1.61244E+05    2.74224E-02
      122.09535    1.61199E+05    2.74615E-02
      123.17584    1.61555E+05    2.75691E-02
      124.25633    1.61475E+05    2.76025E-02
      125.33682    1.60229E+05    2.74365E-02
      126.41731    1.59976E+05    2.74401E-02
      127.49780    1.60402E+05    2.75604E-02
      128.57829    1.60362E+05    2.76011E-02
      129.65878    1.59682E+05    2.75313E-02
      130.73927    1.59072E+05    2.74736E-02
      131.81976    1.59011E+05    2.75105E-02
      132.90025    1.59149E+05    2.75821E-02
      133.98074    1.58568E+05    2.75292E-02
      135.06123    1.58032E+05    2.74838E-02
      136.14172    1.58381E+05    2.75925E-02
      137.22221    1.58030E+05    2.75794E-02
      138.30270    1.57064E+05    2.74588E-02
      139.38319    1.57159E+05    2.75236E-02
      140.46368    1.57195E+05    2.75781E-02
      141.54417    1.56706E+05    2.75407E-02
      142.62466    1.56371E+05    2.75301E-02
      143.70515    1.55893E+05    2.74943E-02
      144.78564    1.55649E+05    2.74998E-02
      145.86613    1.55789E+05    2.75733E-02
      146.94662    1.55632E+05    2.75944E-02
      148.02711    1.55044E+05    2.75388E-02
      149.10760    1.54635E+05    2.75151E-02
      150.18809    1.54343E+05    2.75122E-02
      151.26858    1.54201E+05    2.75358E-02
      152.34907    1.53703E+05    2.74960E-02
      153.42956    1.53295E+05    2.74722E-02
      154.51005    1.53267E+05    2.75164E-02
      155.59054    1.52991E+05    2.75164E-02
      156.67103    1.52887E+05    2.75471E-02
      157.75152    1.52769E+05    2.75756E-02
      158.83201    1.52158E+05    2.75150E-02
      159.91250    1.51576E+05    2.74594E-02
      160.99299    1.51875E+05    2.75634E-02
      162.07348    1.51809E+05    2.76017E-02
      163.15397    1.50864E+05    2.74797E-02
      164.23446    1.50453E+05    2.74550E-02
      165.31495    1.50623E+05    2.75362E-02
      166.39544    1.50468E+05    2.75583E-02
      167.47593    1.49836E+05    2.74929E-02
      168.55642    1.49585E+05    2.74972E-02
      169.63691    1.49952E+05    2.76154E-02
      170.71740    1.49362E+05    2.75576E-02
      171.79789    1.48382E+05    2.74273E-02
      172.87838    1.49046E+05    2.76012E-02
      173.95887    1.48836E+05    2.76134E-02
      175.03936    1.47839E+05    2.74794E-02
      176.11985    1.47744E+05    2.75129E-02
      177.20034    1.47589E+05    2.75352E-02
      178.28083    1.47178E+05    2.75099E-02
      179.36132    1.46977E+05    2.75238E-02
      180.44181    1.46706E+05    2.75245E-02
      181.52230    1.46256E+05    2.74918E-02
      182.60279    1.46460E+05    2.75820E-02
      183.68328    1.46227E+05    2.75899E-02
      184.76377    1.45346E+05    2.74756E-02
      185.84426    1.45239E+05    2.75074E-02
      186.92475    1.45543E+05    2.76173E-02
      188.00524    1.44818E+05    2.75319E-02
      189.08573    1.44058E+05    2.74396E-02
      190.16622    1.44542E+05    2.75844E-02
      191.24670    1.44461E+05    2.76216E-02
      192.32719    1.43368E+05    2.74652E-02
      193.40768    1.43152E+05    2.74763E-02
      194.48817    1.43419E+05    2.75806E-02
      195.56866    1.43114E+05    2.75749E-02
      196.64915    1.42644E+05    2.75374E-02
      197.72964    1.42427E+05    2.75487E-02
      198.81013    1.42094E+05    2.75376E-02
      199.89062    1.41639E+05    2.75027E-02
      200.97111    1.41809E+05    2.75892E-02
      202.05160    1.41888E+05    2.76584E-02
      203.13209    1.41049E+05    2.75486E-02
      204.21258    1.40454E+05    2.74861E-02
      205.29307    1.40858E+05    2.76193E-02
      206.37356    1.40639E+05    2.76305E-02
      207.45405    1.39807E+05    2.75210E-02
      208.53454    1.39663E+05    2.75469E-02
      209.61503    1.39936E+05    2.76553E-02
      210.69552    1.39211E+05    2.75665E-02
      211.77601    1.38588E+05    2.74977E-02
      212.85650    1.38640E+05    2.75625E-02
      213.93699    1.38861E+05    2.76615E-02
      215.01748    1.38624E+05    2.76695E-02
      216.09797    1.37547E+05    2.75094E-02
      217.17846    1.37320E+05    2.75190E-02
      218.25895    1.37756E+05    2.76618E-02
      219.33944    1.37484E+05    2.76628E-02
